model,teff,logg,atmos,metallicity,av,lum_unscaled,Jmag_2MASS,Hmag_2MASS,Kmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_SMASH,Gmag_SMASH,Rmag_SMASH,Imag_SMASH,Zmag_SMASH,uvw1mag_SWIFT,uvw2mag_SWIFT,uvm2mag_SWIFT,Jmag_2MASS_flux,Hmag_2MASS_flux,Kmag_2MASS_flux,Umag_MCPS_flux,Bmag_MCPS_flux,Vmag_MCPS_flux,Imag_MCPS_flux,Bmag_APASS_flux,Vmag_APASS_flux,gmag_APASS_flux,rmag_APASS_flux,imag_APASS_flux,Umag_SMASH_flux,Gmag_SMASH_flux,Rmag_SMASH_flux,Imag_SMASH_flux,Zmag_SMASH_flux,uvw1mag_SWIFT_flux,uvw2mag_SWIFT_flux,uvm2mag_SWIFT_flux
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t10750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10750,2.5,ap,-0.75,0.25,1.801832063992245e+58,-37.84325806066763,-37.848912313998426,-37.847050237789105,-37.90982862380584,-37.70287662534531,-37.72979618636815,-37.82582913117824,-37.66082557168116,-37.71468410151534,-37.832592954609886,-37.63905406238268,-37.44866846184387,-37.57666793595117,-37.820651466635866,-37.60808945443677,-37.40744297565242,-37.33200491470237,-37.828912348633196,-37.63726164862861,-37.72332062465821,429248.50119665195,156240.93723274214,58961.451929544426,5961801.714531101,7486906.163888617,4498585.00257252,1246922.7745726279,7799320.062032261,4430956.792814931,6686938.329934211,3244244.930552354,1850777.3432159284,8029282.750602344,6325424.277112189,2919653.4234427903,1636869.4303352758,1109220.9740547058,5445168.517531639,6098992.223818877,5725628.849433428
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t10750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10750,2.5,ap,-0.75,0.3,1.667200790033532e+58,-37.83465670000274,-37.84103544391487,-37.84537010308861,-37.82584884294929,-37.633417028549474,-37.678039651644454,-37.79954267441455,-37.591016030355966,-37.66331892823487,-37.76769796211382,-37.595233328368415,-37.415489986400814,-37.49607328461197,-37.757495839710444,-37.5661989207637,-37.376427182132936,-37.30873156798201,-37.706774241872324,-37.46970401699548,-37.573371398336675,425861.3663294313,155111.53204977367,58870.28192687832,5518049.795147427,7022933.42177269,4289170.567455672,1217096.3907120263,7313629.006413582,4226213.625237916,6298966.823729066,3115913.1285915305,1795075.7671731887,7454849.689578199,5967980.704346477,2809151.024783897,1590771.2032488005,1085697.2412496842,4865820.482074052,5226789.704581005,4987047.467720039
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t10750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10750,2.5,ap,-0.75,0.35,1.5479475767081367e+58,-37.8260596124425,-37.8331587888843,-37.84369074992162,-37.741892328873405,-37.563996925374205,-37.626302123295076,-37.773274505260545,-37.521242755940285,-37.61197275067913,-37.7028490950937,-37.55142266581815,-37.38231844643153,-37.415485134308724,-37.69439169415661,-37.52432195090864,-37.34541949990789,-37.2854622607433,-37.585159701731016,-37.30278130500883,-37.42367951556692,422502.6216597642,153990.32140019664,58779.295207590316,5107436.897564611,6587953.270820886,4089576.2106879344,1188003.4637211645,6858412.726965856,4031001.639788259,5933757.233438646,2992685.4767868444,1741061.7247841118,6921554.3137769485,5631002.914012181,2702864.662500574,1545982.764085486,1062676.3401824224,4350210.4380500605,4481939.007990162,4344769.577593628
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t10750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10750,2.5,ap,-0.75,0.4,1.4417230786985912e+58,-37.81746678995761,-37.825282349019915,-37.84201217786983,-37.65795900501335,-37.4946163920368,-37.574583618662885,-37.747024644450825,-37.45150584045816,-37.560645584012725,-37.63804631339411,-37.50762207512931,-37.34915384729622,-37.33490346283011,-37.63133898026932,-37.48245854367572,-37.31441992915656,-37.26219699570687,-37.464061978423125,-37.13650766558353,-37.274246171854685,419172.0138422213,152877.24562390166,58688.49133491065,4727479.780974684,6180139.762421307,3899338.1967625096,1159625.515172402,6431745.486752884,3844873.964653941,5589959.501147333,2874357.877084159,1688683.7666153957,6426447.4793314785,5313304.022119309,2600632.211397445,1502466.5759966248,1040147.4420357712,3891089.110747512,3845532.502914526,3786111.6017514407
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t10750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10750,2.5,ap,-0.75,0.45,1.3466178078985276e+58,-37.808878224514096,-37.81740612443497,-37.84033438651447,-37.57404879470154,-37.42527550389358,-37.52288415495035,-37.72079311267732,-37.38180537525133,-37.50933744327004,-37.57328957504293,-37.46383155659524,-37.31599619431136,-37.25432824806203,-37.56833764584558,-37.440608697662526,-37.28342846998061,-37.23893577557825,-37.3434745118579,-36.97089759979983,-37.125072543236996,415869.2919314107,151772.24549649906,58597.86987321688,4375881.936063209,5797782.798485205,3718014.83676404,1131944.5422523331,6031824.047186861,3667404.823567221,5266304.494357789,2760734.435434956,1637892.0212570732,5966791.696403852,5013766.829401245,2502297.828344567,1460186.1868413528,1018099.9528382639,3482059.5182929197,3301508.806868932,3300076.138327482
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t10750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10750,2.5,ap,-0.75,0.5,1.2610667779281876e+58,-37.80029390807354,-37.80953011524272,-37.83865737543625,-37.49016162117367,-37.355974335431114,-37.471203749219455,-37.694579930589256,-37.31214145096908,-37.45804834335533,-37.508578836259375,-37.4200511104052,-37.28284549274945,-37.17375946798737,-37.505387636196595,-37.39877241126026,-37.25244512240415,-37.21567860304785,-37.22339093394887,-36.8059659469811,-36.976159784469544,412594.2073580274,150675.26222612392,58507.430388030676,4050519.4930294272,5439280.729974492,3545185.433504092,1104943.0052844314,5656959.827491143,3498188.5334013854,4961599.105672998,2651627.1303454265,1588638.1466473718,5540045.921916013,4731339.681758521,2407711.7070732624,1419106.197593325,996523.5083376301,3117473.417812037,2836219.2410790753,2877125.832545667
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t10750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10750,2.5,ap,-0.75,0.55,1.1837773342064862e+58,-37.791713832593146,-37.80165432155648,-37.83698114421538,-37.406297407574755,-37.286712960257454,-37.4195424183917,-37.668385118793076,-37.242514157558034,-37.406778299042955,-37.443914051462585,-37.37628073664433,-37.24970174783887,-37.09319710068566,-37.44248889416052,-37.35694968265378,-37.221469886373654,-37.192425480790924,-37.10380507041593,-36.641727872246236,-36.827509027237,409346.5139051143,149586.23745026873,58417.17244601424,3749428.1969738477,5103133.43137348,3380449.277438224,1078603.8155845613,5305571.568889084,3336838.5496982816,4674721.652090973,2546855.494882489,1540875.282907178,5143851.446212848,4465032.579333918,2316729.8426095443,1379192.2316744886,975407.9689868522,2792340.7458328446,2438061.0093571967,2508987.8227943643
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t10750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10750,2.5,ap,-0.75,0.6,1.1136739741369582e+58,-37.78313799002591,-37.793778743489554,-37.83530569243159,-37.322456076965175,-37.21749145109355,-37.367900179248124,-37.64220869785235,-37.172923584252125,-37.3555273249776,-37.3792951732805,-37.332520435293645,-37.216564964763656,-37.012641124332795,-37.37964136011574,-37.31514050982179,-37.190502761758026,-37.169176411467475,-36.98471094211303,-36.4781988513675,-36.679121378389524,406125.9676845943,148505.11323263886,58327.09561496733,3470791.369506984,4787935.820314098,3223424.6909057517,1052910.3236404478,4976178.470854896,3182986.5578204268,4404617.555425106,2446246.311587539,1494558.0066368028,4776018.794868774,4213913.519131437,2229213.804964192,1340410.9051884902,954743.4150403093,2502250.3707720963,2097166.7367371167,2188484.595258441
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t10750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10750,2.5,ap,-0.75,0.65,1.0498557498790313e+58,-37.77456637232079,-37.78590338115531,-37.83363101966412,-37.23863755232654,-37.14830987976471,-37.316277048429285,-37.616050688287686,-37.103369819562474,-37.304295435674454,-37.31472215255905,-37.28877020622996,-37.18343514866332,-36.93209151720076,-37.316844971994826,-37.273344890536976,-37.159543748348554,-37.14593139772221,-36.86610276591303,-36.31539465277123,-36.530997918208854,402932.3271140544,147431.83206003162,58237.19946382518,3212928.781624128,4492371.793566271,3073748.118352516,1027846.3076063246,4667393.768885184,3036281.607533792,4150295.2865134547,2349633.319771913,1449642.2866295779,4434515.572531139,3977105.0570162972,2145030.5217129113,1302729.798027207,934520.1417576374,2243300.6996521787,1805141.627125013,1909387.6530167018
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t10750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10750,2.5,ap,-0.75,0.7,9.91563086084148e+57,-37.7659989714228,-37.77802823466712,-37.83195712549169,-37.15484175656762,-37.07916831719213,-37.26467304243528,-37.58991111057674,-37.03385295126746,-37.253082645519484,-37.25019493837178,-37.245030049225925,-37.15031230463265,-36.85154825765727,-37.25409966529887,-37.23156282236618,-37.128592845858925,-37.122690442184506,-36.74797495518001,-36.15333131652881,-36.38313969870707,399765.3528937339,146366.33683923708,58147.48356265312,2974286.3686113884,4215208.552477934,2931073.260311972,1003395.9621042822,4377918.725237239,2896389.2889337926,3910822.5569597813,2256856.934688849,1406085.4409581043,4117455.180964228,3753781.075798701,2064052.069115421,1266117.4258245698,914728.6547128692,2012038.8747508526,1554840.8663263654,1666290.8982566379
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t10750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10750,2.5,ap,-0.75,0.75,9.381517125813612e+57,-37.75743577927318,-37.7701533041384,-37.830284009492566,-37.07106861253022,-37.01006683338456,-37.21308817762579,-37.56378998515406,-36.96437306640278,-37.20188896876964,-37.18571347802968,-37.20129996395001,-37.11719643772155,-36.771011324165514,-37.191405373112495,-37.18979430267057,-37.09765005392525,-37.09945354746833,-36.63032211985855,-35.99202513019846,-36.23554774196152,396624.8079837984,145308.5708939627,58057.94748264573,2753426.723026224,3955291.29269955,2795070.249027273,979543.8873238249,4106537.005934648,2762990.9477269882,3685322.743158322,2167763.978098031,1363846.095390503,3823086.348350295,3543163.7469201633,1986155.4714356093,1230543.2127327109,895359.6652065181,1805407.4630186858,1340181.048431595,1454501.0509747237
