Star_Index,RA,DEC,Offset_MCPS_APASS_4380A,Offset_MCPS_APASS_5450A,Offset_SMASH_APASS_4600A,Offset_SMASH_APASS_5600A,Offset_MCPS_SMASH_4600A,Offset_MCPS_SMASH_5600A,choose_MCPS,choose_APASS,choose_SMASH
196,13.813378,-72.33728,-13.835446053505159,-13.64075531575457,,,,,1,1,0
197,13.841566,-71.789406,-0.13027855235063868,-0.06993458451577439,,,,,1,1,0
198,13.863108,-71.555687,-0.14372221957698272,-0.018534905542018976,,,,,1,1,0
199,13.865672,-72.729294,-12.884514278654859,-12.61148086563862,-12.906341608579298,,0.042531455630259174,,1,1,0
200,13.869121,-72.487114,-13.621739667876414,-13.553014778615438,,,,,1,1,0
201,13.875625,-72.480446,-15.554089157696774,-13.846537055068328,-15.568061270088135,,0.33208462133071137,,1,1,0
202,13.89679,-72.545395,-13.80520793134947,-13.481450788913584,,,,,1,1,0
203,13.924053,-72.303223,-15.73788334212791,-14.186675904384444,-15.603145662876987,,0.14986105723333765,,1,1,0
204,13.948352,-72.658638,-0.06324357266237612,0.03420594580618186,-0.20644287986508125,0.041565784769685976,0.047201214516524814,-0.016496899464044645,1,1,1
205,13.952626,-73.043114,-15.618037085840488,-14.133725034599799,-15.4829267666201,,0.13663093223393474,,1,1,0
206,13.972648,-72.196625,-0.5304782709402716,-0.39031771542390103,,,,,1,1,0
207,13.995879,-71.522568,-0.1451692930647468,-0.020698129175297453,-0.3545922381718487,,-0.010758693143039011,,1,1,0
208,13.998293,-72.175369,-15.797148070271623,-14.302416645953315,-15.847456742699565,-14.401673304224817,0.32373615142717327,0.17476009472899534,1,1,1
209,14.002332,-72.83284,-15.955299533744677,-14.37849945916203,-15.931003959417756,-14.56099958706767,0.26662651545075455,0.23145964071763991,1,1,1
210,14.004046,-72.460983,-15.309123744523122,-14.038292732784846,-15.220293558120247,,0.1386475919975556,,1,1,0
211,14.007276,-72.499931,-14.919071672666833,-13.87140928009436,-14.907645125756147,-13.93967133795928,0.16967997400471369,0.10562657153936073,1,1,1
212,14.018476,-71.629814,-0.20978211384304046,-0.007534682491113998,-0.7554397617544044,-0.3192106035819702,0.279781544497256,0.23024384997796332,1,1,1
213,14.029873,-72.470512,-13.521878398415339,-13.442146313180034,,,,,1,1,0
214,14.037303,-72.277908,-15.987534235541084,-14.315202195965133,-16.015076389489792,-14.411251349863171,0.33722352516350895,0.2125183930936121,1,1,1
215,14.045771,-72.44059,-15.663385052307554,-14.226717515418539,-15.543087481631709,,0.141537093952131,,1,1,0
216,14.057666,-72.04567,-0.531502815288798,-0.3357216909816554,,,,,1,1,0
217,14.061519,-72.42244,-16.013578134942282,-14.489717515418539,-15.85046621466265,,0.11684969045612448,,1,1,0
218,14.087205,-72.84552,-0.12026256276356406,-0.05025604321386545,-0.331131151978866,-0.04734250136565166,0.10082522528500881,0.013669952799423513,1,1,1
219,14.090327,-72.459961,-14.892821957696773,-13.863796517929194,-14.976610904778399,,0.26110145602097745,,1,1,0
220,14.094011,-72.476639,-12.553126973265638,-12.382510993471092,,,,,1,1,0
221,14.099992,-72.487503,-13.834930470271622,-13.531059791488124,-13.887686100943569,,0.07978310967117785,,1,1,0
222,14.10552,-72.471741,-14.729080985241684,-13.387416748168183,,,,,1,1,0
223,14.113846,-72.468483,-15.633202422367432,-14.064191223837849,-15.522319388178383,,0.17856360648682923,,1,1,0
224,14.115696,-73.507523,-0.12534024983507486,0.05599082484186191,-0.530359383483054,,0.1448281205990476,,1,1,0
225,14.127534,-72.231476,-0.803646188255021,-0.4614937847676668,-12.088623254028478,,0.1574506847507955,,1,1,0
226,14.128729,-71.77256,-0.16425516395522344,0.01527724195533331,-0.3155769604677161,0.027180209393609545,0.04804513540484123,-0.04750475891815675,1,1,1
227,14.129824,-72.152824,-0.5428390162724366,-0.3206004565832359,-12.025500389437882,-2.5983233386160673,0.3657330159462937,-0.12200583607992144,1,1,1
228,14.148048,-72.254349,-15.897274067876413,-14.468698717465394,-15.874494629494006,-14.676036311048659,0.23736899870065642,0.2537577057576996,1,1,1
229,14.159138,-72.310638,-0.5677120144388805,-0.3773592913871422,,,,,1,1,0
230,14.19015,-72.242996,-15.682758484642882,-14.142995571802818,-15.545585677535852,,0.14552892338920742,,1,1,0
231,14.200639,-71.179138,-0.16240411575088665,0.0030476368713650004,-0.4767669441491815,,0.04872801312750674,,1,1,0
232,14.242771,-72.521553,-0.13466602748474088,-0.05227740890202881,,,,,1,1,0
233,14.255295,-72.14254,-15.739078705002163,-14.247615802041809,-15.576230013185164,,0.10952489496666473,,1,1,0
234,14.264679,-72.334267,-15.812035945720726,-14.251251172858185,-15.69358189353833,,0.16846324717611694,,1,1,0
235,14.268831,-72.494507,-15.585520362487195,-13.919800226412386,-15.363336434220177,,0.0872866645046706,,1,1,0
236,14.270352,-72.241432,-15.936356166080007,-14.42645048226898,-15.792165483232424,,0.13239847279835537,,1,1,0
237,14.276385,-72.254517,-13.965196338535097,-13.788450788913584,,,,,1,1,0
238,14.299565,-72.369591,-0.22379167651818577,-0.02422660128904397,-0.5324165386425399,,0.09051753480570035,,1,1,0
239,14.311585,-71.504509,-0.12414149810181918,-0.03982298895775749,-0.4883898667583111,,0.0744134335261677,,1,1,0
240,14.338515,-72.110527,0.002899278374012937,0.04967998123738404,-0.4570417502863364,,0.13605360693992807,,1,1,0
241,14.347047,-72.02668,-0.04116938701877615,-0.005991406122458187,,,,,1,1,0
242,14.37155,-72.161362,-0.7765634424533268,-0.5004403856293234,,,,,1,1,0
243,14.385288,-72.100685,0.08696090686690638,0.10033217417019102,-0.45839471235294305,,0.18584472286061526,,1,1,0
244,14.391292,-72.070297,-1.1276885746682872,-0.620080264826175,-1.211326330845715,,0.01804911753601246,,1,1,0
245,14.408075,-72.058754,-0.23944159351793814,-0.006056673956909009,-0.588266545979355,,0.11747903037201013,,1,1,0
246,14.44261,-72.705765,-0.121076295385663,-0.053777129329313667,,,,,1,1,0
247,14.472133,-72.412888,-15.419608161289586,-14.039822783956163,,,,,1,1,0
248,14.472561,-72.083511,-0.12743884082183854,0.002352560758094313,-0.5051248232943024,,0.11383293369350689,,1,1,0
249,14.481763,-72.422295,-15.951216295421325,-14.380405469396296,-15.804504849030462,,0.14294597272812837,,1,1,0
250,14.487046,-73.562134,-0.4451331304401194,-0.22521960097453686,-0.6217420066857091,,-0.04842258394875287,,1,1,0
251,14.506239,-72.594238,-0.7248915549508972,-0.38567482530585373,-0.8607075117097693,-0.39911046034359643,0.12548648712435373,0.014080622953951405,1,1,1
252,14.507126,-72.326561,-13.807011428355457,-13.350759024237766,,,,,1,1,0
253,14.558781,-71.969238,-0.012451525661585805,0.01769572329025948,-0.46444816121518073,,0.15321939446446642,,1,1,0
254,14.596641,-72.359787,-0.41089627452417155,-0.44356718640146653,,,,,1,1,0
255,14.689378,-72.276627,-0.2807161321548062,-0.08968458752821817,-0.7342869022146861,,0.18891400860701602,,1,1,0
256,14.71651,-72.348312,-15.893715725361444,-14.28651825711518,-15.686284292811791,,0.0898140105214349,,1,1,0
257,14.722887,-72.360008,-0.08459923385017376,-0.26237391556195,,,,,1,1,0
258,14.727953,-72.849892,-0.09251564619471431,-0.03771569320938006,-0.515597704612988,,0.12638993741156312,,1,1,0
259,14.729435,-72.552078,-1.2551759987481699,-0.6087011269755429,-1.535723055894497,-0.9905254276409892,0.2775477609119097,0.34528794523424367,1,1,1
260,14.733524,-71.976097,-16.01188448224767,-14.538871658634347,-15.875428430299735,,0.13296663663213515,,1,1,0
261,14.739664,-72.288078,-15.982593148115935,-14.530916773721902,-15.923665858858147,-14.980554083380538,0.2060690520168933,0.4932784550976237,1,1,1
262,14.775518,-71.783722,-0.11873342480721583,-0.004796386303054234,-0.5368793929363491,,0.08925112007032432,,1,1,0
263,14.804474,-72.377014,-1.0550720353360354,-0.39453489881602444,-1.3704514510635981,-0.685385851218717,0.3038485612696391,0.24763772804413442,1,1,1
264,14.821316,-71.810242,-0.7236879162293466,-0.35901114279378454,-12.03019840373166,,-0.0016291345321199913,,1,1,0
265,14.872271,-72.330978,-15.571481023565038,-14.054886696996865,-15.486943637994198,,0.19394877606312377,,1,1,0
266,14.916991,-72.226891,-0.5043468215294169,-0.29646851752439574,,,,,1,1,0
267,14.925954,-72.163506,-0.192185663436657,-0.008582281719984763,-0.5674862109852494,,0.16138717079035736,,1,1,0
268,15.005334,-72.48336,-13.222988242726712,-13.062067361776814,,,,,1,1,0
269,15.007992,-72.017464,-0.5467839317060843,-0.2525336918440466,,,,,1,1,0
270,15.026778,-72.428185,-15.836020932547074,-14.206082144602163,-15.622907096235723,,0.08876873250824069,,1,1,0
271,15.054616,-72.334679,-0.09986460343457537,-0.021954623113986216,,,,,1,1,0
272,15.056647,-72.352814,-0.21505661646261487,-0.04998303175197272,-0.5695973409005806,-0.7636388428121919,0.12207588088626942,0.6666726607473432,1,1,1
273,15.098814,-72.631149,-0.30981574764937214,-0.02871631455759882,-0.5972517364980696,,0.10774943982457152,,1,1,0
274,15.138538,-72.563477,-0.24298712350411833,-0.03871408291710843,-0.597932176498789,,0.10820149540702673,,1,1,0
275,15.145673,-72.366623,-15.75206369182851,-14.192788947640498,-15.629609392066218,,0.16488455648244837,,1,1,0
276,15.154256,-72.690392,-0.20403094407141786,-0.046626899598296134,-0.5615175274444155,,0.13703018347989193,,1,1,0
277,15.201425,-73.687996,-0.06256384111603985,0.07641115532858755,,,,,1,1,0
278,15.210984,-72.48114,-13.373543164882404,-13.17189818019849,,,,,1,1,0
279,15.267479,-72.440582,-0.17996505633720794,-0.08778843933590252,-0.5627140289947175,-0.22173493213856688,0.3002209997813363,0.1441942873187685,1,1,1
280,15.302052,-72.268593,-0.09552137322997467,-0.03825855079747065,,,,,1,1,0
281,15.340866,-71.954842,-0.08025913712650024,-0.017767093520472343,,,,,1,1,0
282,15.444264,-72.437416,-0.19852673581299385,0.04674634896948149,-0.5404314751937989,,0.11923420695870846,,1,1,0
283,15.444664,-72.562927,-12.582017128954258,-12.493105008790545,,,,,1,1,0
284,15.456195,-72.095955,-0.893113043796534,-0.7772267461005757,-0.3268363586811649,,-0.7324509237726353,,1,1,0
285,15.554542,-72.939476,-16.003844003205753,-14.606337796764967,-16.034384507985553,-14.554423111378659,0.2841548101263367,-0.0008949041325081453,1,1,1
286,15.61304,-72.279282,-0.12078466382000919,-0.025288545180369937,,,,,1,1,0
287,15.645905,-72.505547,-15.482330700211746,-14.123221300562887,-15.323362858150409,,0.08684766088999218,,1,1,0
288,15.646989,-72.192581,-0.32839138885529984,-0.13455899308731212,-0.6987740283204698,,0.14787755678874603,,1,1,0
289,15.658785,-72.135178,-0.08148165804000662,-0.02684729871549152,,,,,1,1,0
290,15.664665,-71.832069,-15.672282240331505,-13.877540814658955,-15.499665748218135,,0.16362296293376666,,1,1,0
291,15.664685,-72.301323,-15.85368911937342,-14.322029561440784,-15.725443001213254,,0.15340172012050246,,1,1,0
292,15.666333,-72.190926,-14.628942254702762,-13.297619766062173,,,,,1,1,0
293,15.705051,-72.156441,-0.0740220702181329,-0.022818810092010366,,,,,1,1,0
294,15.727274,-72.545883,-0.16427872209552064,-0.0868955520454513,,,,,1,1,0
295,15.739019,-73.128609,-0.10736490979555313,0.08301983206549757,-0.5467806905186112,-0.1613920063662384,0.19561719374011233,0.22194224957118003,1,1,1
296,15.752757,-72.503365,-0.10737947091054423,-0.020385947080249878,,,,,1,1,0
297,15.771704,-72.154785,-15.735385052307553,-14.29884910109057,-15.570877437191188,,0.09732704951161075,,1,1,0
