ra;dec;_r;Source;RA_ICRS;DE_ICRS;E(BP/RP)corr;FU;e_FU;Umag;UFlag;FB;e_FB;Bmag;BFlag;FV;e_FV;Vmag;VFlag;FR;e_FR;Rmag;RFlag;FI;e_FI;Imag;IFlag;Fu;e_Fu;umag;uFlag;Fg;e_Fg;gmag;gFlag;Fr;e_Fr;rmag;rFlag;Fi;e_Fi;imag;iFlag;Umag_GAIA;e_Umag_GAIA;Bmag_GAIA;e_Bmag_GAIA;Vmag_GAIA;e_Vmag_GAIA;Imag_GAIA;e_Imag_GAIA;gmag_GAIA;e_gmag_GAIA;gmag_GAIA_fluxergs;e_gmag_GAIA_fluxergs;rmag_GAIA;e_rmag_GAIA;rmag_GAIA_fluxergs;e_rmag_GAIA_fluxergs;imag_GAIA;e_imag_GAIA;imag_GAIA_fluxergs;e_imag_GAIA_fluxergs
9.508638;-73.630348;0.14;4.685816952120572e+18;9.50854090516;-73.63037572886;0.0061; 7.21212e-17; 1.10169e-18;14.505943;1.0; 1.25004e-16; 4.01339e-19;14.286687;1.0; 1.24653e-16; 2.67487e-19;13.674644;1.0;1.10663e-16;1.7791000000000001e-19;13.263192;1.0;8.73097e-17;1.25462e-19;12.826144;1.0; 3.36897e-29; 5.08702e-31;15.393759;0.0; 9.57636e-29; 2.58302e-31;13.926298;0.0;1.48513e-28;2.52053e-31;13.46269;0.0;1.78332e-28;2.59366e-31;13.252627;0.0;14.214140709229463;0.0165852026785464;14.327006510105964;0.0034858747134605;13.646451086290966;0.0023298301701694;12.561113521991189;0.0015601775715798;14.04354673672999;0.0029285431328963645;1.316306277450551e-14;3.5504570011782365e-17;13.31286124809543;0.0018426876274662877;1.1813825678465706e-14;2.0050165330538853e-17;12.896525432634533;0.0015790943660324392;9.618748911704372e-15;1.3989505137794205e-17
9.563685;-73.017746;0.025;4.688897611907475e+18;9.56370807994;-73.01774717982;-0.0098;            ;            ;         ;0.0; 3.67027e-17; 2.21615e-19;15.617256;1.0; 8.34296e-17; 2.01890e-19;14.110599;1.0;1.01558e-16;1.5561100000000001e-19;13.35642;1.0;1.00321e-16;1.2546600000000001e-19;12.675321;1.0;            ;            ;         ;0.0; 4.04691e-29; 1.66791e-31;14.861491;0.0;1.27023e-28;2.24643e-31;13.632391;0.0;1.9478999999999997e-28;2.60776e-31;13.156785;0.0;;;15.657571250886177;0.006555796413274;14.082407520459588;0.0026273562665842;12.410290130517645;0.0013578710206854;14.978739031255445;0.004474797495566078;5.562628219153634e-15;2.292604291424454e-17;13.48256651170387;0.0019201486206866507;1.0104351667232832e-14;1.7869770605183194e-17;12.800681989223188;0.0014535342909389906;1.0506449209961726e-14;1.4065556749201598e-17
9.57867;-73.525597;0.063;4.6888222609993e+18;9.57867378122;-73.52557947277;-0.0185;            ;            ;         ;0.0; 6.67612e-17; 1.49527e-18;14.967690;1.0; 9.09907e-17; 7.98146e-19;14.016407;1.0;9.5376e-17;6.16551e-19;13.424603;1.0;8.19565e-17;4.97429e-19;12.894841;1.0;            ;            ;         ;0.0; 5.94594e-29; 8.88012e-31;14.443749;0.0;1.23819e-28;9.11174e-31;13.66013;0.0;1.66579e-28;1.0412e-30;13.326649;0.0;;;15.00800594985676;0.0243175493383685;13.988215408632726;0.0095237865944858;12.629811253592798;0.0065897967165097;14.56099659045793;0.01621521203812477;8.172915541337553e-15;1.2206055015177152e-16;13.51030419519134;0.007989844859304984;9.849481740197459e-15;7.248153898143806e-17;12.970548006658314;0.006786380854694556;8.984823671370266e-15;5.615953035274989e-17
9.818972;-72.032875;0.087;4.689217466690224e+18;9.81904681315;-72.03286755795;-0.0017;            ;            ;         ;0.0; 7.57745e-17; 2.31292e-18;14.830192;1.0; 7.97032e-17; 7.13144e-19;14.160211;1.0;7.31877e-17;5.95762e-19;13.712104;1.0;5.59974e-17;1.9838200000000001e-19;13.30838;1.0;            ;            ;         ;0.0; 5.92036e-29; 1.06529e-30;14.448429;0.0;9.88865e-29;8.78166e-31;13.904257;0.0;1.15674e-28;4.18013e-31;13.722609;0.0;;;14.870508587264442;0.0331407133364017;14.132018528374443;0.0097146194883772;13.0433501047453;0.0038464378662639;14.565677607310395;0.019536378219682377;8.137754880525737e-15;1.4642807019632694e-16;13.75442991144402;0.009641929080184125;7.866165742753826e-15;6.985583781053184e-17;13.366509248907079;0.003923542439610974;6.239144750311171e-15;2.2546498042013096e-17
10.190774;-72.673569;0.044;4.688941180059446e+18;10.19079712356;-72.67357906122;-0.0054;            ;            ;         ;0.0; 4.28005e-17; 3.28108e-19;15.450378;1.0; 9.16018e-17; 2.83550e-19;14.009140;1.0;1.13453e-16;2.16587e-19;13.236159;1.0;1.16543e-16;2.23771e-19;12.512587;1.0;            ;            ;         ;0.0; 4.53055e-29; 2.42485e-31;14.738923;0.0;1.4017e-28;3.1058000000000003e-31;13.525465;0.0;2.24114e-28;4.708049999999999e-31;13.004525;0.0;;;15.490694179335762;0.0083232376881293;13.980947904523653;0.0033608564554317;12.247554278608115;0.002084692141741;14.856170577302423;0.00581109895290362;6.227409376113256e-15;3.333046456979446e-17;13.375634742329867;0.0024057070020245407;1.1150161570707871e-14;2.47058370595024e-17;12.648426165752845;0.0022808482909642013;1.2088106977983276e-14;2.5393956672806763e-17
10.191936;-73.717102;0.021;4.685824236387276e+18;10.19194950752;-73.71709750665;0.0021;            ;            ;         ;0.0;            ;            ;         ;0.0; 7.88772e-17; 1.58371e-18;14.171521;1.0;8.04337e-17;1.0328e-18;13.609605;1.0;6.96556e-17;5.29246e-19;13.07141;1.0;            ;            ;         ;0.0; 5.05078e-29; 1.34840e-30;14.620905;0.0;1.03245e-28;1.51165e-30;13.857428;0.0;1.44981e-28;1.09076e-30;13.477426;0.0;;;;;14.14332921009423;0.0217995984243545;12.806379668145592;0.0082494665672741;14.7381517663929;0.028985754645735155;6.942484848127778e-15;1.853425920197573e-16;13.707599854158767;0.015896683945204385;8.212873163784933e-15;1.2024785430805847e-16;13.12132090582068;0.00816850223616872;7.819885584010787e-15;5.883266358775016e-17
10.512744;-73.888428;0.039;4.685771734702774e+18;10.51275858259;-73.88841793306;-0.0084;            ;            ;         ;0.0; 3.08068e-17; 1.83850e-19;15.807383;1.0; 6.74279e-17; 1.64683e-19;14.341802;1.0;8.15843e-17;1.24709e-19;13.594183;1.0;8.05265e-17;9.57356e-20;12.913953;1.0;            ;            ;         ;0.0; 3.34584e-29; 1.35023e-31;15.068038;0.0;1.02027e-28;1.82149e-31;13.870314;0.0;1.56362e-28;1.98901e-31;13.395372;0.0;;;15.84769981284178;0.0064794980733079;14.313608838771785;0.0026517553625158;12.64892270354026;0.0012908000099873;15.185284974333868;0.004381541244502334;4.5989814452935684e-15;1.855941323218903e-17;13.72048463354905;0.0019383669416966926;8.115984408750889e-15;1.4489482627829548e-17;13.03927059124601;0.001381115724169534;8.433746143888473e-15;1.0728185503930373e-17
10.598432;-73.412109;0.109;4.685844920952321e+18;10.59840378243;-73.41207986807;-0.0073;            ;            ;         ;0.0; 3.85351e-17; 2.01357e-19;15.564359;1.0; 8.15388e-17; 1.72518e-19;14.135489;1.0;9.72263e-17;1.29685e-19;13.403741;1.0;9.49866e-17;1.03755e-19;12.734645;1.0;            ;            ;         ;0.0; 4.12681e-29; 1.48261e-31;14.840262;0.0;1.21995e-28;1.87305e-31;13.676243;0.0;1.84776e-28;2.12933e-31;13.214086;0.0;;;15.604675059794715;0.0056732844856113;14.107297134696246;0.0022971767866642;12.469613905438218;0.001185962650781;14.957511710998581;0.003900648090259668;5.672453739046682e-15;2.0379025538001508e-17;13.52641734729273;0.0016669848750540711;9.70438724990017e-15;1.4899629114656757e-17;12.857984729852873;0.0012511855830181556;9.966320957030073e-15;1.1485033880716566e-17
10.721161;-73.596092;0.091;4.685827328763438e+18;10.72112203635;-73.5960692148;0.0005; 1.10924e-16; 1.31315e-18;14.038536;1.0; 1.91032e-16; 4.44066e-19;13.826233;1.0; 1.71958e-16; 2.95962e-19;13.325346;1.0;1.40465e-16;1.90096e-19;13.004281;1.0;1.00461e-16;1.23084e-19;12.673811;1.0; 5.38060e-29; 6.32450e-31;14.885423;0.0; 1.41983e-28; 2.87333e-31;13.498708;0.0;1.93167e-28;2.7031799999999993e-31;13.17727;0.0;2.1045700000000003e-28;2.5875899999999998e-31;13.072789;0.0;13.746734264292751;0.0128532553575253;13.866550979297818;0.0025238626696162;13.29715196064855;0.0018686926960805;12.40877601975771;0.0013302351661485;13.61595702593622;0.002197219673635348;1.9516091102596556e-14;3.949498887037446e-17;13.027440088159914;0.0015193798081339358;1.5365936078539826e-14;2.1503098918959903e-17;12.71669019477466;0.0013349235929762788;1.1351485093592666e-14;1.3956765188769885e-17
10.745516;-73.29184;0.191;4.688848576277105e+18;10.74548875338;-73.2917875624;0.0043; 5.94999e-17; 1.01918e-18;14.714810;1.0; 1.05919e-16; 2.90348e-19;14.466569;1.0; 1.04982e-16; 1.81075e-19;13.861110;1.0;9.01265e-17;1.23053e-19;13.486069;1.0;6.75026e-17;8.833149999999999e-20;13.105499;1.0; 2.87309e-29; 4.94575e-31;15.566625;0.0; 8.18292e-29; 1.80359e-31;14.097030;0.0;1.22456e-28;1.77214e-31;13.672149;0.0;1.39992e-28;1.89406e-31;13.515445;0.0;14.423007480146223;0.0185976888224247;14.506881605968733;0.002976249167563;13.832920818398438;0.0018726989700765;12.84046850968737;0.0014207557571203;14.214277133274978;0.00239306135406397;1.1247727700165473e-14;2.479101494667117e-17;13.522322252703137;0.001571239104576396;9.741058609564123e-15;1.409691612036402e-17;13.159340587850181;0.0014689764529288692;7.550792329179947e-15;1.0216050716474206e-17
