model,teff,logg,atmos,metallicity,av,lum_unscaled,Jmag_2MASS,Hmag_2MASS,Kmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_SMASH,Gmag_SMASH,Rmag_SMASH,Imag_SMASH,Zmag_SMASH,uvw1mag_SWIFT,uvw2mag_SWIFT,uvm2mag_SWIFT,Jmag_2MASS_flux,Hmag_2MASS_flux,Kmag_2MASS_flux,Umag_MCPS_flux,Bmag_MCPS_flux,Vmag_MCPS_flux,Imag_MCPS_flux,Bmag_APASS_flux,Vmag_APASS_flux,gmag_APASS_flux,rmag_APASS_flux,imag_APASS_flux,Umag_SMASH_flux,Gmag_SMASH_flux,Rmag_SMASH_flux,Imag_SMASH_flux,Zmag_SMASH_flux,uvw1mag_SWIFT_flux,uvw2mag_SWIFT_flux,uvm2mag_SWIFT_flux
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.25/bosz2024_ap_t10000_g+2.5_m-0.25_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.5,ap,-0.25,0.05,1.2509959591082666e+58,-37.781079329367756,-37.796203164264874,-37.77073338783873,-37.9901848559297,-37.83483683176022,-37.80334894200415,-37.81725173992734,-37.80166157636461,-37.78689431909492,-37.95443791851267,-37.682672268008815,-37.45461852424534,-37.714968665764914,-37.935679385286655,-37.64479772375082,-37.4060308450917,-37.32410638058119,-37.87118948870159,-37.85306459928945,-37.840382195236394,405356.64323080593,148837.09180928892,54959.329982244046,6419778.152223218,8454471.657449497,4813899.655936753,1237110.8068947147,8879553.838573428,4735671.861972693,7481097.3043017695,3377232.16544791,1860947.8344710974,9120046.31321632,7032355.685246464,3020053.311721778,1634741.8685820133,1101180.8730905699,5661378.364964476,7440108.344762256,6377461.135763023
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.25/bosz2024_ap_t10000_g+2.5_m-0.25_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.5,ap,-0.25,0.1,1.1687119922392966e+58,-37.76649012805441,-37.787038067878115,-37.76483247902388,-37.913043416177786,-37.76831739169732,-37.75241247667188,-37.790357745080236,-37.73477929351921,-37.73628096303449,-37.89202799098532,-37.63826262616677,-37.420493062741215,-37.639600547382095,-37.87475981436008,-37.60213628211968,-37.37422559129615,-37.30054016588789,-37.75911111555646,-37.71880426682145,-37.69872431043403,399946.23644632095,147585.99141077852,54661.43967938946,5979480.370886412,7952042.573853563,4593274.997006845,1206843.6309087526,8349072.487501453,4519977.362846654,7063197.213895381,3241880.933358642,1803366.5701255344,8508437.174296843,6648642.7872795705,2903688.5549721518,1587548.8008967268,1077536.9547115609,5106117.820401229,6574687.675815771,5597378.390164692
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.25/bosz2024_ap_t10000_g+2.5_m-0.25_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.5,ap,-0.25,0.15,1.0933795784356617e+58,-37.751902417572666,-37.77787342316121,-37.75893170984168,-37.835909167209735,-37.701830021115875,-37.70148788020768,-37.76348175389262,-37.66792663083703,-37.68567962557189,-37.82965704320571,-37.593860317270284,-37.386375167322434,-37.564234459456685,-37.813882708149215,-37.55948553857823,-37.34242967497464,-37.27697690120016,-37.64750334908695,-37.584776346451,-37.5573129601831,394608.5856909443,146345.46843902307,54365.170991868705,5569417.113368655,7479692.577263617,4382809.64391214,1177336.4946248997,7850497.264186279,4314154.804257238,6668880.7771125445,3111975.2665641564,1747579.1577583624,7937858.651960996,6286112.623612688,2791834.921981366,1541731.4003925575,1054403.5697328197,4607313.08281396,5811175.061740448,4913829.991256338
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.25/bosz2024_ap_t10000_g+2.5_m-0.25_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.5,ap,-0.25,0.2,1.0243206073463717e+58,-37.737316197479565,-37.7687092301038,-37.75303108028393,-37.75878209356508,-37.635374800742596,-37.65057516683443,-37.736623758930406,-37.60110367867074,-37.635090320207624,-37.76732505040473,-37.54946534148742,-37.35226484395458,-37.48887039932589,-37.75304801757681,-37.51684549683537,-37.31064309843514,-37.25341658705807,-37.5363621562637,-37.45098319734509,-37.41615116348562,389342.7052491116,145115.432957086,54070.51505401082,5187509.624793476,7035608.4227171205,4182033.652677555,1148569.8407093885,7381897.0773691535,4117750.253825249,6296803.724508582,2987295.236263552,1693529.348098566,7405557.139209158,5943582.310290447,2684316.4861057107,1497249.1911517356,1031769.6337871072,4159022.289911823,5137439.246697644,4314747.720720327
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.25/bosz2024_ap_t10000_g+2.5_m-0.25_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.5,ap,-0.25,0.25,9.609294058816245e+57,-37.72273146733052,-37.75954548869531,-37.747130590342366,-37.68166217981926,-37.568951810672935,-37.599674350760516,-37.70978375253276,-37.53431052691091,-37.58451306042771,-37.70503198624335,-37.50507769893724,-37.31816209855174,-37.41350836433128,-37.692255691645656,-37.47421616048258,-37.278865863888676,-37.22985922399321,-37.425683414700934,-37.3174272652861,-37.275241918233846,384147.6228593318,143895.79579700937,53777.463048821606,4831822.257177051,6618086.87986228,3990498.912766359,1120524.626572529,6941458.395674259,3930330.745722463,5945699.154212141,2867629.829301885,1641162.6665880752,6908963.895636304,5619935.757277424,2580964.221120176,1454062.8987877003,1009624.3044465589,3755949.5597643,4542807.418220306,3789585.499184387
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.25/bosz2024_ap_t10000_g+2.5_m-0.25_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.5,ap,-0.25,0.3,9.026645420291354e+57,-37.708148226679384,-37.75038219892498,-37.741230240008726,-37.60454941058365,-37.50256113036096,-37.54878544617969,-37.682961726812856,-37.467547264975806,-37.533947859703716,-37.64277782281751,-37.460697389689905,-37.28406693697628,-37.3381483518188,-37.6315056774497,-37.43159753299363,-37.247097973449186,-37.20630481252867,-37.31546292273901,-37.1841110857772,-37.1345881982652,379022.3795292223,142686.468553209,53486.00620771766,4500552.604616632,6225528.017896286,3807778.1284492277,1093182.3105387134,6527478.052250703,3751483.3080707085,5614373.037722629,2752776.585407271,1590426.3570608308,6445682.631472741,5314119.856381832,2481615.7290620543,1412134.414477707,987956.9759147203,3393372.6448704405,4017888.259232172,3329125.918480823
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.25/bosz2024_ap_t10000_g+2.5_m-0.25_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.5,ap,-0.25,0.35,8.490415909576188e+57,-37.693566475078434,-37.74121936078184,-37.735330029274735,-37.52744377050563,-37.43620283860948,-37.497908467271046,-37.6561576736587,-37.40081398180117,-37.483394731492744,-37.580562530663386,-37.416324413766546,-37.24997936503861,-37.26279035913879,-37.57079792018563,-37.388989617724484,-37.215339429133465,-37.182753353179066,-37.20569640939925,-37.051037287115726,-36.994192950367285,373966.02935307816,141487.3635759156,53196.135810258704,4192022.319408715,5856428.902664437,3633463.847888787,1066524.8383949758,6138356.492003104,3580814.0356454956,5301699.989075206,2642541.2492410936,1541269.3272189754,6013477.92582493,5025140.888949528,2386114.978865688,1371426.7600805867,966757.2738356082,3067078.906512167,3554416.653445624,2925311.528899456
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.25/bosz2024_ap_t10000_g+2.5_m-0.25_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.5,ap,-0.25,0.4,7.996267476158666e+57,-37.67898621207837,-37.73205697425473,-37.729429958132094,-37.450345244268576,-37.36987701356003,-37.447043428198874,-37.62937158473391,-37.33411076582999,-37.43285368923745,-37.518386078763015,-37.37195877113936,-37.21589938849697,-37.18743438364591,-37.510132363164765,-37.34639241791302,-37.18359023286101,-37.15920484645049,-37.09637954417889,-36.91820859342381,-36.85405909123808,368977.63933198416,140298.39396468172,52907.84318388136,3904668.562029101,5509377.680489703,3467167.5376955345,1040534.6303075744,5772591.4340630425,3417947.205765344,5006619.281811606,2536737.436654943,1493642.09584866,5610264.423046299,4752061.140537089,2294312.055357648,1331904.054306556,946015.0502171788,2773308.630022128,3145117.3728785655,2571097.695520245
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.25/bosz2024_ap_t10000_g+2.5_m-0.25_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.5,ap,-0.25,0.45,7.540311842115958e+57,-37.66440743722832,-37.72289503933227,-37.723530026572476,-37.37325381659198,-37.30358373268296,-37.396190343112636,-37.602603451478565,-37.26743770500229,-37.38232474636605,-37.456248434550055,-37.327600461731535,-37.1818270130572,-37.1120804226992,-37.4495089478254,-37.30380593667894,-37.15185038645393,-37.135659292840515,-36.987507946656265,-36.78562782762461,-36.714189504407024,364056.28919639695,139119.4735619371,52621.11970363558,3637036.041167361,5183048.02488242,3308518.7008175706,1015194.5680963536,5428771.923849561,3262524.4353476875,4728131.099120747,2435186.3145716046,1447496.7417194939,5234096.75493892,4493995.710525584,2206062.918200339,1293531.4799072787,925720.3784667179,2508704.81920057,2783585.4082923383,2260324.2498032125
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.25/bosz2024_ap_t10000_g+2.5_m-0.25_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.5,ap,-0.25,0.5,7.119060633720479e+57,-37.649830150075836,-37.713733556002886,-37.71763023458756,-37.296169472231426,-37.23732307276756,-37.34534922614688,-37.57585326511,-37.20079488674487,-37.331807916292334,-37.394149563916,-37.283249485417315,-37.1477622443725,-37.03672847366206,-37.38892761374548,-37.26123017702348,-37.120119891636904,-37.11211669283819,-36.87907719587875,-36.65329791435183,-36.57458703712305,359201.0712312084,137950.5169466056,52335.95679192384,3387769.603037571,4876193.923755396,3157164.0357269878,990487.9828569287,5105572.750658762,3114203.877206627,4465293.003385973,2337716.2939326027,1402786.854113805,4883160.140001415,4250109.505341291,2121229.17038693,1256275.251855194,905863.548535684,2270268.711355449,2464180.8938384657,1987603.5211672932
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.25/bosz2024_ap_t10000_g+2.5_m-0.25_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.5,ap,-0.25,0.55,6.72938128668431e+57,-37.63525435016691,-37.704572524254814,-37.71173058216899,-37.21909219597862,-37.171095109912244,-37.29452009142117,-37.54912101662371,-37.134182397961176,-37.281303212415686,-37.33208943121663,-37.23890584202195,-37.11370508804323,-36.961378533902234,-37.328388298655696,-37.21866514182934,-37.088398750036994,-37.088577046924065,-36.771082839508395,-36.52122188277946,-36.43525449721587,354411.09010321135,136791.43942777766,52052.34591823685,3155607.3320114883,4587644.786157368,3012766.63496212,966398.6429210716,4801749.208214812,2972659.453758749,4217216.612193038,2244162.7351763677,1359467.4849334343,4555761.614221052,4019614.4046163587,2039677.8359080304,1220102.5864818143,886435.0621714941,2055320.3450978016,2181936.8313525617,1748222.645287303
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.25/bosz2024_ap_t10000_g+2.5_m-0.25_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.5,ap,-0.25,0.6,6.368458037211067e+57,-37.62068003704596,-37.695411944076085,-37.705831069308395,-37.142021972661475,-37.10489991951473,-37.24370295304,-37.52240669679418,-37.06760032502096,-37.23081064812109,-37.27006799927872,-37.19456953132174,-37.07965554961668,-36.88603060079181,-37.267890938452865,-37.17611083386047,-37.05668696318367,-37.0650403555701,-36.66352040270284,-36.38940286935767,-36.29619464993726,349685.4626909582,135642.15703843016,51770.27859889675,2939374.127245184,4316300.848836207,2875005.2211763207,942910.7421458217,4516132.17701326,2837580.126388407,3983064.4686234193,2154367.66573452,1317495.1023334186,4250321.850965544,3801766.590245456,1961281.146224221,1184981.671546298,867425.6282739501,1861463.592653506,1932478.0421260658,1538058.317349419
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.25/bosz2024_ap_t10000_g+2.5_m-0.25_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.5,ap,-0.25,0.65,6.0337573946005094e+57,-37.60610721025585,-37.68625181545451,-37.69993169599739,-37.06495878714409,-37.03873757626229,-37.19289782509272,-37.49571029617578,-37.001048753750176,-37.180330236779184,-37.20808522940712,-37.150240553043986,-37.04561363458686,-36.81068467170721,-37.2074354672138,-37.13356725576192,-37.02498453250864,-37.041506619239726,-36.55638539671129,-36.25784412044023,-36.15741021478927,345023.3179169865,134502.58652920777,51489.746396797644,2737975.7224149397,4061128.8641638416,2743573.4189311997,920008.8885222469,4247623.508601108,2708669.198806735,3762047.0943811415,2068179.5090535781,1276827.5458337772,3965367.530384566,3595864.0288852085,1885916.335194436,1150881.6372055663,848826.1583540227,1686555.1384159792,1711949.9686141629,1353502.3948041464
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.25/bosz2024_ap_t10000_g+2.5_m-0.25_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.5,ap,-0.25,0.7,5.722997564424877e+57,-37.59153586933789,-37.67709213837772,-37.694032462227575,-36.98790262432686,-36.97260815412207,-37.142104721653524,-37.46903180510366,-36.93452776942071,-37.12986199174624,-37.14614108139203,-37.10591890686709,-37.011579348394235,-36.735340744029195,-37.14702181720937,-37.09103441005968,-36.99329145934582,-37.01797583838782,-36.44967332716816,-36.12654899478787,-36.01890386234679,340423.7965823458,133372.64536225566,51210.74092114862,2550393.117953753,3821158.052096552,2618179.06055562,897678.0930949933,3995191.6931667933,2585643.652816321,3553420.21498174,1985452.8246707977,1237423.9828618348,3699524.221392636,3401244.098994762,1813465.442123239,1117772.527859071,830627.7620926388,1528676.9469533863,1516956.118894239,1191396.959827961
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.25/bosz2024_ap_t10000_g+2.5_m-0.25_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.5,ap,-0.25,0.75,5.434121355551363e+57,-37.576966013831814,-37.667932912833145,-37.68813336799053,-36.910853469146375,-36.90651172633142,-37.09132365678129,-37.44237121369467,-36.86803745674024,-37.07940592636425,-37.08423551351663,-37.06160459242046,-36.97755269642561,-36.65999881514286,-37.08664991891904,-37.048512299160556,-36.96160774493126,-36.9944480134607,-36.34337970206908,-35.99552096593098,-35.880678211081815,335886.0512034276,132252.25170510574,50933.253827219676,2375677.3972958676,3595476.29991781,2498543.5244699167,875903.7591839542,3757867.792969243,2468233.514967958,3356482.146871113,1906048.0588909201,1199244.8666795006,3451509.74178726,3217281.354038396,1743815.1226042116,1085625.2748413025,812821.7429973303,1386111.817740287,1344503.0958188034,1048977.6307350406
