RA,DEC,ebv_eden,ebv_sf,av_eden,av_sf,av_zh,av_zh_std
13.127266,-72.319092,0.04508,0.21961,0.14289,0.66324,0.3,0.29
13.1284,-73.220673,0.04572,0.48861,0.14494,1.4756,0.46,0.34
13.1457,-72.433815,0.04597,0.19639,0.14572,0.59311,0.33,0.3
13.14854,-72.851479,0.04671,0.37987,0.14806,1.14721,0.41,0.34
13.162501,-73.009697,0.04631,0.26391,0.14681,0.797,0.43,0.34
13.163567,-72.740128,0.04704,0.38437,0.14912,1.16079,0.39,0.34
13.1687,-72.745171,0.04702,0.37972,0.14905,1.14674,0.39,0.34
13.169555,-72.756119,0.04698,0.37048,0.14893,1.11884,0.4,0.34
13.173921,-73.065315,0.04621,0.27834,0.14649,0.84058,0.43,0.34
13.189993,-73.073402,0.04619,0.28112,0.14641,0.84897,0.43,0.34
13.201415,-72.968979,0.04634,0.27064,0.14689,0.81733,0.43,0.35
13.211746,-72.775291,0.04686,0.35165,0.14855,1.06197,0.39,0.34
13.233808,-72.232277,0.0445,0.22063,0.14108,0.66632,0.28,0.28
13.237359,-72.394661,0.04554,0.20999,0.14437,0.63416,0.33,0.3
13.241423,-72.580956,0.0467,0.3006,0.14804,0.9078,0.37,0.32
13.245275,-73.139763,0.04603,0.37798,0.1459,1.14149,0.43,0.34
13.249078,-73.441971,0.04447,0.32254,0.14097,0.97406,0.33,0.32
13.256099,-72.399757,0.04556,0.21322,0.14443,0.64392,0.33,0.3
13.256905,-72.508492,0.04642,0.24265,0.14715,0.7328,0.35,0.31
13.259931,-72.498817,0.04634,0.23908,0.14689,0.72203,0.35,0.31
13.268429,-72.562134,0.04662,0.27836,0.14778,0.84064,0.36,0.32
13.279305,-72.171394,0.04415,0.17414,0.13996,0.52589,0.26,0.28
13.309965,-72.641273,0.04665,0.39757,0.14787,1.20067,0.38,0.32
13.315513,-72.367493,0.04525,0.22222,0.14343,0.67109,0.33,0.3
13.316536,-73.259033,0.04555,0.46324,0.14439,1.39899,0.41,0.34
13.327935,-72.551033,0.0465,0.27211,0.1474,0.82178,0.36,0.32
13.329248,-71.703796,0.04116,0.06003,0.13048,0.18129,0.18,0.23
13.33919,-72.287971,0.04473,0.21537,0.14179,0.65043,0.3,0.29
13.339863,-71.844383,0.04223,0.08763,0.13388,0.26464,0.19,0.23
13.345563,-72.413216,0.04556,0.23299,0.14442,0.70362,0.33,0.3
13.348422,-72.783722,0.04653,0.33013,0.14749,0.99699,0.38,0.33
13.350006,-73.11042,0.04606,0.31072,0.146,0.93837,0.41,0.34
13.358685,-72.489899,0.04612,0.25494,0.1462,0.76992,0.35,0.31
13.378453,-73.231285,0.04561,0.44545,0.14458,1.34527,0.4,0.34
13.378894,-72.532722,0.04639,0.26601,0.14706,0.80334,0.36,0.32
13.405291,-72.398819,0.04538,0.23457,0.14386,0.70841,0.33,0.3
13.407487,-72.422089,0.04555,0.24501,0.14439,0.73994,0.34,0.3
13.407679,-72.54425,0.04635,0.27649,0.14694,0.83499,0.36,0.32
13.412949,-72.393631,0.04534,0.23247,0.14372,0.70205,0.33,0.3
13.415298,-72.535828,0.04633,0.27275,0.14688,0.82369,0.36,0.32
13.417728,-72.409355,0.04545,0.23989,0.14406,0.72446,0.33,0.3
13.42474,-72.908089,0.04613,0.25937,0.14623,0.78329,0.39,0.34
13.427622,-72.287094,0.04465,0.19951,0.14155,0.60251,0.3,0.3
13.433085,-72.089363,0.04366,0.11655,0.1384,0.35197,0.23,0.26
13.440647,-72.894165,0.04613,0.26533,0.14623,0.80131,0.39,0.34
13.442446,-72.531502,0.04629,0.2736,0.14673,0.82626,0.36,0.32
13.446713,-73.248802,0.04547,0.40923,0.14415,1.23586,0.39,0.34
13.470145,-71.632614,0.04025,0.05366,0.1276,0.16204,0.19,0.24
13.477901,-72.437256,0.04557,0.25659,0.14447,0.7749,0.34,0.31
13.485679,-72.911011,0.04604,0.25137,0.14594,0.75913,0.38,0.34
13.495741,-72.362373,0.04503,0.21694,0.14275,0.65515,0.33,0.3
13.495896,-72.262009,0.04449,0.18426,0.14102,0.55647,0.3,0.3
13.507475,-72.317116,0.04474,0.19748,0.14183,0.59639,0.32,0.3
13.511337,-73.25885,0.04536,0.3713,0.1438,1.12134,0.37,0.34
13.525363,-73.061119,0.04598,0.22535,0.14575,0.68057,0.38,0.33
13.531955,-72.380341,0.04512,0.22761,0.14304,0.68738,0.34,0.31
13.540397,-72.374336,0.04507,0.22369,0.14288,0.67554,0.34,0.31
13.567612,-72.239929,0.04434,0.17472,0.14057,0.52766,0.29,0.3
13.59046,-72.508453,0.04591,0.2798,0.14554,0.845,0.36,0.32
13.610954,-72.679138,0.04594,0.37323,0.14563,1.12717,0.36,0.32
13.611973,-72.883247,0.04581,0.25762,0.14521,0.77802,0.37,0.33
13.620808,-72.742271,0.04588,0.34128,0.14544,1.03067,0.36,0.32
13.627097,-72.570183,0.04596,0.30396,0.14569,0.91794,0.37,0.32
13.638384,-72.180771,0.04404,0.14707,0.13961,0.44416,0.27,0.29
13.648799,-72.665016,0.04585,0.36445,0.14536,1.10063,0.36,0.32
13.653195,-72.309631,0.04461,0.20689,0.1414,0.62482,0.32,0.3
13.65933,-72.601669,0.04587,0.33056,0.14542,0.9983,0.37,0.32
13.672227,-73.240891,0.04529,0.28185,0.14358,0.8512,0.34,0.32
13.672755,-72.237221,0.04427,0.18597,0.14035,0.56162,0.3,0.3
13.67278,-72.486137,0.04565,0.2819,0.1447,0.85132,0.36,0.31
13.673452,-73.128853,0.04589,0.2299,0.14549,0.69431,0.35,0.32
13.693553,-72.46489,0.04549,0.28192,0.14419,0.85141,0.35,0.31
13.699284,-71.76387,0.04128,0.08042,0.13085,0.24287,0.2,0.25
13.699347,-71.414688,0.03799,0.04401,0.12044,0.13291,0.18,0.19
13.70945,-73.0466,0.04576,0.19188,0.14506,0.57948,0.35,0.33
13.712406,-73.099899,0.04587,0.20033,0.14539,0.60501,0.35,0.33
13.726891,-73.15094,0.04575,0.2225,0.14501,0.67196,0.34,0.32
13.761648,-72.768044,0.04547,0.32769,0.14415,0.98961,0.35,0.32
13.767206,-72.472443,0.04543,0.288,0.14403,0.86976,0.35,0.31
13.784495,-72.567459,0.04567,0.30295,0.14477,0.9149,0.36,0.32
13.789353,-72.515457,0.04565,0.29105,0.14471,0.87899,0.36,0.31
13.79491,-72.45266,0.04528,0.29142,0.14352,0.88008,0.35,0.31
13.802364,-72.436417,0.04517,0.29344,0.14319,0.88618,0.35,0.31
13.803228,-72.51178,0.04559,0.29186,0.14453,0.88141,0.36,0.31
13.813378,-72.33728,0.04462,0.27766,0.14145,0.83854,0.34,0.31
13.841566,-71.789406,0.0413,0.09322,0.13093,0.28151,0.2,0.25
13.863108,-71.555687,0.03923,0.05767,0.12435,0.17417,0.2,0.24
13.865672,-72.729294,0.04522,0.32325,0.14334,0.9762,0.35,0.32
13.869121,-72.487114,0.04531,0.29954,0.14362,0.9046,0.36,0.32
13.875625,-72.480446,0.04526,0.30135,0.14347,0.91008,0.36,0.32
13.89679,-72.545395,0.04541,0.29891,0.14394,0.90271,0.36,0.32
13.924053,-72.303223,0.0444,0.34417,0.14074,1.03939,0.33,0.31
13.948352,-72.658638,0.0451,0.31245,0.14296,0.94359,0.36,0.32
13.952626,-73.043114,0.04532,0.16241,0.14366,0.49047,0.32,0.32
13.972648,-72.196625,0.04396,0.24353,0.13935,0.73547,0.29,0.29
13.995879,-71.522568,0.03874,0.06279,0.12282,0.18963,0.2,0.24
13.998293,-72.175369,0.04387,0.22204,0.13906,0.67057,0.29,0.29
14.002332,-72.83284,0.04475,0.31529,0.14187,0.95218,0.34,0.32
14.004046,-72.460983,0.04491,0.32775,0.14237,0.98981,0.36,0.32
14.007276,-72.499931,0.04505,0.31579,0.1428,0.95369,0.36,0.32
14.018476,-71.629814,0.03964,0.06911,0.12565,0.20872,0.2,0.25
14.029873,-72.470512,0.04489,0.32748,0.14231,0.989,0.36,0.32
14.037303,-72.277908,0.04422,0.37358,0.14016,1.1282,0.33,0.31
14.045771,-72.44059,0.04476,0.34495,0.14189,1.04174,0.36,0.32
14.057666,-72.04567,0.04305,0.19077,0.13646,0.57613,0.26,0.28
14.061519,-72.42244,0.04468,0.35676,0.14163,1.07743,0.36,0.32
14.087205,-72.84552,0.04451,0.307,0.1411,0.92714,0.33,0.32
14.090327,-72.459961,0.04474,0.34028,0.14182,1.02763,0.36,0.32
14.094011,-72.476639,0.04478,0.33417,0.14195,1.0092,0.36,0.32
14.099992,-72.487503,0.0448,0.3326,0.142,1.00445,0.36,0.32
14.10552,-72.471741,0.04474,0.33753,0.14183,1.01933,0.36,0.32
14.113846,-72.468483,0.04471,0.33994,0.14174,1.02663,0.36,0.32
14.115696,-73.507523,0.04325,0.1024,0.1371,0.30926,0.28,0.29
14.127534,-72.231476,0.04391,0.32473,0.1392,0.98067,0.32,0.3
14.128729,-71.77256,0.04075,0.11016,0.12917,0.33269,0.2,0.24
14.129824,-72.152824,0.04355,0.23045,0.13804,0.69595,0.28,0.29
14.148048,-72.254349,0.04399,0.35709,0.13945,1.0784,0.32,0.31
14.159138,-72.310638,0.04425,0.38986,0.14026,1.17737,0.34,0.32
14.19015,-72.242996,0.04389,0.34106,0.13912,1.03002,0.32,0.3
14.200639,-71.179138,0.03528,0.03898,0.11182,0.11771,0.21,0.23
14.242771,-72.521553,0.04453,0.34454,0.14117,1.04051,0.37,0.33
14.255295,-72.14254,0.04326,0.27164,0.13714,0.82036,0.28,0.29
14.264679,-72.334267,0.04425,0.3789,0.14028,1.14428,0.36,0.32
14.268831,-72.494507,0.04443,0.35126,0.14084,1.0608,0.38,0.33
14.270352,-72.241432,0.04378,0.34389,0.13878,1.03854,0.33,0.31
14.276385,-72.254517,0.04384,0.35124,0.13899,1.06074,0.33,0.31
14.299565,-72.369591,0.04425,0.3798,0.14027,1.14699,0.37,0.33
14.311585,-71.504509,0.03811,0.07406,0.12082,0.22365,0.2,0.23
14.338515,-72.110527,0.04293,0.3128,0.13608,0.94467,0.27,0.28
14.347047,-72.02668,0.04247,0.25842,0.13462,0.78042,0.25,0.27
14.37155,-72.161362,0.04313,0.37083,0.13673,1.11991,0.3,0.3
14.385288,-72.100685,0.04279,0.34548,0.13564,1.04334,0.27,0.28
14.391292,-72.070297,0.04262,0.3147,0.1351,0.9504,0.26,0.28
14.408075,-72.058754,0.04253,0.31204,0.13482,0.94235,0.26,0.28
14.44261,-72.705765,0.04356,0.30602,0.13808,0.9242,0.34,0.31
14.472133,-72.412888,0.0438,0.38299,0.13884,1.15664,0.38,0.33
14.472561,-72.083511,0.04254,0.39029,0.13486,1.17867,0.27,0.28
14.481763,-72.422295,0.04378,0.38455,0.13879,1.16133,0.38,0.33
14.487046,-73.562134,0.04265,0.0754,0.1352,0.2277,0.27,0.29
14.506239,-72.594238,0.04366,0.35194,0.1384,1.06285,0.36,0.32
14.507126,-72.326561,0.04354,0.36119,0.13803,1.0908,0.37,0.33
14.558781,-71.969238,0.04186,0.24736,0.1327,0.74703,0.24,0.26
14.596641,-72.359787,0.04329,0.36443,0.13724,1.10058,0.37,0.32
14.689378,-72.276627,0.04274,0.4606,0.13548,1.391,0.35,0.32
14.71651,-72.348312,0.04283,0.34858,0.13577,1.05271,0.37,0.32
14.722887,-72.360008,0.04283,0.34748,0.13577,1.0494,0.37,0.32
14.727953,-72.849892,0.04258,0.2299,0.13497,0.69429,0.29,0.29
14.729435,-72.552078,0.04307,0.3082,0.13654,0.93076,0.36,0.33
14.733524,-71.976097,0.04156,0.25257,0.13175,0.76277,0.24,0.26
14.739664,-72.288078,0.04261,0.42595,0.13506,1.28638,0.35,0.32
14.775518,-71.783722,0.04,0.2075,0.1268,0.62665,0.23,0.25
14.804474,-72.377014,0.04254,0.32222,0.13487,0.9731,0.36,0.32
14.821316,-71.810242,0.04017,0.21887,0.12732,0.66098,0.24,0.26
14.872271,-72.330978,0.04223,0.31575,0.13385,0.95356,0.35,0.32
14.916991,-72.226891,0.04194,0.63817,0.13295,1.92727,0.32,0.3
14.925954,-72.163506,0.04184,0.85894,0.13263,2.59401,0.29,0.29
15.005334,-72.48336,0.04181,0.22483,0.13255,0.67898,0.35,0.32
15.007992,-72.017464,0.04116,0.26297,0.13048,0.79417,0.24,0.27
15.026778,-72.428185,0.04169,0.22368,0.13217,0.67551,0.35,0.32
15.054616,-72.334679,0.04157,0.2578,0.13176,0.77855,0.33,0.31
15.056647,-72.352814,0.04156,0.24983,0.13174,0.7545,0.34,0.31
15.098814,-72.631149,0.04148,0.19158,0.1315,0.57858,0.33,0.31
15.138538,-72.563477,0.04127,0.19067,0.13083,0.57583,0.34,0.32
15.145673,-72.366623,0.04122,0.21929,0.13067,0.66224,0.33,0.3
15.154256,-72.690392,0.04134,0.17326,0.13104,0.52323,0.31,0.3
15.201425,-73.687996,0.04186,0.05291,0.13269,0.1598,0.18,0.26
15.210984,-72.48114,0.04089,0.18017,0.12963,0.54411,0.33,0.31
15.267479,-72.440582,0.04069,0.18295,0.12899,0.5525,0.33,0.31
15.302052,-72.268593,0.04075,0.18485,0.12919,0.55824,0.3,0.29
15.340866,-71.954842,0.04025,0.26644,0.1276,0.80465,0.24,0.26
15.444264,-72.437416,0.04,0.18308,0.12679,0.55291,0.32,0.3
15.444664,-72.562927,0.04001,0.14891,0.12683,0.4497,0.32,0.31
15.456195,-72.095955,0.04024,0.29087,0.12756,0.87842,0.26,0.28
15.554542,-72.939476,0.03997,0.12695,0.12672,0.38339,0.26,0.27
15.61304,-72.279282,0.03989,0.14756,0.12644,0.44565,0.3,0.29
15.645905,-72.505547,0.03921,0.15652,0.12429,0.47269,0.32,0.31
