target_idx,target_ra,target_dec,n_matches_total,match_number,smash_idx,smash_ra,smash_dec,distance_arcsec,has_match
148,13.407487,-72.422089,3,1,190,13.406775842445736,-72.42209990410645,0.7741722332981398,True
148,13.407487,-72.422089,3,2,191,13.408366317123855,-72.42216944705334,0.9989032617380622,True
148,13.407487,-72.422089,3,3,192,13.407544449998246,-72.42212334050159,0.13850848549697095,True
149,13.407679,-72.54425,1,1,178,13.407619434560226,-72.54430126225179,0.1954331087677184,True
150,13.412949,-72.393631,1,1,198,13.412961977124533,-72.39365708324112,0.09495699770399314,True
151,13.415298,-72.535828,2,1,179,13.41527013251372,-72.53586030099031,0.12011806255379909,True
151,13.415298,-72.535828,2,2,180,13.415370732082833,-72.53581194913727,0.09753766911403118,True
152,13.417728,-72.409355,1,1,193,13.417753725351998,-72.40938293074147,0.10437331530953714,True
153,13.42474,-72.908089,3,1,138,13.424775333730064,-72.90831151248953,0.8019168697674509,True
153,13.42474,-72.908089,3,2,139,13.42532288204645,-72.90821140178602,0.75796761181444,True
153,13.42474,-72.908089,3,3,140,13.424778696555164,-72.9080876032207,0.04125087853085159,True
154,13.427622,-72.287094,1,1,206,13.427726619507599,-72.2871232539368,0.15563309569612713,True
155,13.433085,-72.089363,2,1,217,13.433186256682184,-72.08952307280889,0.5870647816694886,True
155,13.433085,-72.089363,2,2,218,13.433118464526238,-72.08935345761847,0.05052470841966067,True
156,13.440647,-72.894165,1,1,141,13.440726366548365,-72.89416620517983,0.08415280230245686,True
157,13.442446,-72.531502,1,1,182,13.442430766910485,-72.53153714591633,0.12759168364998258,True
158,13.446713,-73.248802,1,1,64,13.446766804475438,-73.2488508250193,0.1844225924782652,True
159,13.470145,-71.632614,1,1,222,13.470125963757958,-71.63262300082795,0.03893941335756508,True
160,13.477901,-72.437256,1,1,189,13.477945062793188,-72.43730311789906,0.17624852227703475,True
161,13.485679,-72.911011,3,1,135,13.48585818056224,-72.91128340282467,0.9988014047555409,True
161,13.485679,-72.911011,3,2,136,13.48550152661169,-72.91092686516778,0.35635429248234696,True
161,13.485679,-72.911011,3,3,137,13.48573405779356,-72.9110114442618,0.05826670634374859,True
162,13.495741,-72.362373,1,1,199,13.495776584604627,-72.36241177742319,0.14489450007359309,True
163,13.495896,-72.262009,1,1,213,13.495942975074547,-72.26203798127489,0.11636061953293265,True
164,13.507475,-72.317116,2,1,211,13.50745439407059,-72.317147466198,0.11549756469348356,True
164,13.507475,-72.317116,2,2,212,13.50807769647373,-72.31721510792966,0.7494240125805753,True
165,13.511337,-73.25885,1,1,63,13.511349363762712,-73.25890160605417,0.1862236568860084,True
166,13.525363,-73.061119,1,1,95,13.525445396444889,-73.06114419039368,0.12527061518012092,True
167,13.531955,-72.380341,1,1,209,13.531996991518977,-72.38037983842484,0.1471156149460235,True
168,13.540397,-72.374336,1,1,210,13.54040501389162,-72.37436866954077,0.11793432848364739,True
169,13.567612,-72.239929,1,1,214,13.567684661819008,-72.23994336579774,0.09508537536923581,True
170,13.59046,-72.508453,1,1,266,13.590525829694517,-72.50848427693872,0.13323581485165695,True
171,13.610954,-72.679138,1,1,257,13.610985977288939,-72.67918014669911,0.15555088245845625,True
