ra,dec,RAJ2000,DEJ2000,Bmag,e_Bmag,f_Bmag,Vmag,e_Vmag,f_Vmag,gmag,e_gmag,f_gmag,rmag,e_rmag,f_rmag,imag,e_imag,f_imag
79.959579,-66.133827                    ,079.9595653,-66.1338475,14.662, 2,.,13.623, 2,.,14.127, 1,.,13.283, 1,.,12.928, 2,.

79.96583,-69.885681                     ,079.9658415,-69.8857009,12.369, 9,.,12.129, 3,.,12.186, 5,.,12.126, 4,.,12.161, 4,.

80.140506,-69.543167                    ,080.1405339,-69.5431845,11.638, 1, ,11.657, 1, ,11.528, 1, ,11.820, 1, ,12.018, 1,

80.220844,-68.8256,,,,,,,,,,,,,,,,,

80.257105,-65.800743                    ,080.2571418,-65.8006759,10.527,99,., 9.674,99,.,      ,  , ,      ,  , ,      ,  ,

80.343293,-69.452255                    ,080.3433289,-69.4522425,10.818, 1, ,10.701, 1, ,10.675, 1, ,10.780, 1, ,10.916, 1,

80.420956,-65.868645                    ,080.4209865,-65.8686731,10.651, 2,.,10.529, 2,.,10.639, 1, ,10.536, 1, ,10.640, 3,.

80.445623,-71.328827                    ,080.4457389,-71.3288653,13.407, 5,.,11.676, 5,.,12.518, 6,.,11.103, 5,.,10.504, 4,.

80.561819,-67.859047                    ,080.5618036,-67.8590748,12.533, 2,.,12.577, 1,.,12.474, 1,.,12.674, 3,.,12.851, 7,.

80.576873,-66.916389                    ,080.5768518,-66.9164178,12.658, 1, ,12.222, 1, ,12.389, 1, ,12.116, 1, ,12.016, 3,.

80.587785,-66.260262                    ,080.5877956,-66.2602739,11.646, 3,.,11.587, 1,.,11.551, 1,.,11.687, 4,.,11.805, 2,.

80.596557,-67.899345                    ,080.5965609,-67.8993412,12.384, 2,.,11.840, 1,.,12.061, 1,.,11.737, 2,.,11.627, 0,.

80.690377,-69.847679                    ,080.6903906,-69.8476812,12.698, 3,.,11.775, 0,.,12.177, 0,.,11.518, 0,.,11.312, 1,.

80.696242,-67.206306                    ,080.6962918,-67.2063075,11.972, 2,.,11.897, 0,.,11.872, 0,.,11.961, 2,.,12.091, 1,.

80.746689,-65.80143,,,,,,,,,,,,,,,,,

80.749096,-68.029625                    ,080.7490868,-68.0296159,11.771, 0,.,11.511, 1,.,11.666, 7,.,11.437, 3,.,11.359, 2,.

80.906046,-70.118706,,,,,,,,,,,,,,,,,

80.959342,-67.764236,,,,,,,,,,,,,,,,,

81.057266,-66.424736                    ,081.0572615,-66.4247245,12.683, 2,.,12.514, 3,.,12.564, 1,.,12.508, 2,.,12.574, 1,.

81.230202,-70.270058,,,,,,,,,,,,,,,,,

81.283955,-69.895432                    ,081.2839409,-69.8954128,11.349, 4,.,11.162, 3,.,11.354,21,.,11.180, 4,.,11.258, 2,.

81.292764,-67.85672                     ,081.2927692,-67.8567189,13.122, 4,.,13.073, 1,.,13.030, 1,.,13.147, 2,.,13.274, 9,.

