ra,dec,RAJ2000,DEJ2000,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag
14.860701,-72.165016                    ,014.8607298,-72.1649937,11.373, 2,11.538, 2,11.375, 1,11.730, 1,11.944, 1

14.871415,-72.017967                    ,014.8714456,-72.0179225,12.638, 0,12.585, 1,12.567, 1,12.568, 2,12.727, 1

14.896359,-72.241386                    ,014.8963412,-72.2413484,      ,  ,      ,  ,      ,  ,      ,  ,      ,

14.940584,-72.748978                    ,014.9405124,-72.7490053,12.037, 2,12.154, 4,12.033, 4,12.271, 2,12.544, 4

14.953141,-72.273399                    ,014.9531842,-72.2733770,      ,  ,      ,  ,      ,  ,      ,  ,      ,

15.014473,-71.961395                    ,015.0144983,-71.9613767,      ,  ,      ,  ,      ,  ,      ,  ,      ,

15.039916,-72.566467                    ,015.0400092,-72.5664648,15.252, 3,13.676, 1,14.420, 2,13.139, 1,12.616, 2

15.051331,-72.155411                    ,015.0513495,-72.1554042,15.140, 6,13.640, 3,14.382, 1,13.175, 1,12.660, 1

15.169767,-71.541702                    ,015.1697833,-71.5417148,11.765, 1,11.601, 1,11.636, 0,11.644, 0,11.726, 2

15.225637,-72.860222                    ,015.2255277,-72.8601939,      ,  ,      ,  ,      ,  ,      ,  ,      ,

15.261213,-72.198441                    ,015.2612015,-72.1984031,15.237, 4,14.285, 1,14.773, 3,14.000, 1,13.772, 7

15.287348,-72.262398                    ,015.2873721,-72.2623809,      ,  ,      ,  ,      ,  ,      ,  ,      ,

15.315233,-72.543571                    ,015.3152142,-72.5435698,11.514, 1,11.406, 1,11.422, 1,11.419, 0,11.526, 1

15.320793,-72.292                       ,015.3208112,-72.2919837,11.416, 1,11.384, 1,11.359, 0,11.470, 1,11.624, 1

15.332641,-72.284523                    ,015.3326527,-72.2845067,15.392, 4,13.825, 1,      ,  ,      ,  ,      ,

15.364306,-72.118401                    ,015.3643045,-72.1183723,12.243, 1,12.160, 1,12.137, 1,12.247, 1,12.390, 1

15.489279,-72.071449                    ,015.4892821,-72.0714178,12.434, 0,12.283, 0,12.311, 1,12.308, 1,12.385, 0

15.532258,-72.292458                    ,015.5322992,-72.2924695,15.411, 4,14.205, 1,      ,  ,      ,  ,      ,

15.656626,-71.275955                    ,015.6566839,-71.2759395,13.475, 1,13.389, 1,13.352, 1,13.469, 1,13.572, 1

15.679321,-72.123909                    ,015.6793165,-72.1238875,11.916, 0,11.589, 1,11.712, 0,11.560, 2,11.560, 1

15.706694,-72.1707                      ,015.7066850,-72.1706898,10.899, 1,10.806, 1,10.804, 1,10.913, 1,11.032, 0

15.845589,-72.603508                    ,015.8455806,-72.6035331,      ,  ,      ,  ,      ,  ,      ,  ,      ,

15.886565,-72.41571                     ,015.8865880,-72.4157425,15.162, 2,13.747, 2,14.403, 1,13.268, 1,12.831, 1

15.934614,-72.539604                    ,015.9346221,-72.5396275,13.046, 0,13.030, 1,12.977, 1,13.094, 2,13.248, 1

15.978696,-72.824409                    ,015.9787518,-72.8243906,      ,  ,      ,  ,      ,  ,      ,  ,      ,

16.064517,-72.75563                     ,016.0645000,-72.7556309,13.742, 0,12.162, 0,12.896, 1,11.692, 1,11.278, 1

16.103029,-72.009552                    ,016.1030400,-72.0095553,14.724, 1,13.790, 1,14.189, 3,13.483, 3,13.258, 4

16.126022,-72.362282                    ,016.1260198,-72.3622589,13.114, 1,13.040, 1,13.035, 0,13.111, 2,13.246, 1

16.148901,-72.070976                    ,016.1489250,-72.0709689,15.207, 5,13.705, 1,14.411, 2,13.247, 0,12.770, 1

16.220421,-72.143562                    ,016.2204400,-72.1435564,11.317, 1,11.213, 1,11.204, 2,11.292, 0,11.404, 2

16.229481,-72.043449                    ,016.2295024,-72.0434553,11.684, 1,11.039, 1,11.334, 1,10.872, 1,10.712, 0

16.233804,-72.251961                    ,016.2338648,-72.2519473,14.452, 3,13.085, 0,13.741, 1,12.574, 0,12.089, 1

16.234879,-72.043686                    ,016.2350709,-72.0436862,      ,  ,      ,  ,      ,  ,      ,  ,      ,

16.352517,-72.924828                    ,016.3524862,-72.9248467,14.621, 1,13.297, 2,13.947, 1,12.839, 2,12.379, 2

16.370598,-72.67263                     ,016.3706239,-72.6726181,14.056, 2,12.688, 1,13.354, 1,12.256, 2,11.855, 1

16.484653,-72.329117                    ,016.4846589,-72.3291048,11.628, 1,11.629, 2,11.562, 1,11.725, 2,11.936, 3

16.573929,-72.243042                    ,016.5740765,-72.2430492,      ,  ,      ,  ,      ,  ,      ,  ,      ,

16.667566,-72.47924                     ,016.6676271,-72.4792470,14.287, 1,12.785, 1,13.521, 1,12.292, 2,11.829, 1

16.757307,-73.177071                    ,016.7573406,-73.1770795,15.181, 4,13.780, 0,14.436, 1,13.355, 2,12.923, 2

16.782522,-72.511818,,,,,,,,,,,,

16.825903,-72.467659                    ,016.8259030,-72.4676845,10.124, 1, 9.941, 1,      ,  ,      ,  , 9.695, 1

17.236885,-73.042908                    ,017.2368845,-73.0428906,11.458, 1,11.335, 0,11.384, 3,11.395, 1,11.510, 1

17.552019,-72.62529                     ,017.5519995,-72.6252773,15.190, 3,13.634, 2,14.411, 3,13.103, 3,12.577, 1

17.62284,-72.826271                     ,017.6227895,-72.8262700,14.977, 3,13.517, 1,14.215, 1,13.060, 3,12.604, 2

17.758444,-72.115479                    ,017.7583824,-72.1154895,14.393, 1,13.872, 2,14.119, 1,13.674, 1,13.452, 2

17.855835,-73.284515                    ,017.8558192,-73.2845164,15.044, 3,13.667, 1,14.332, 4,13.206, 1,12.701, 1

17.881686,-73.579437                    ,017.8817006,-73.5794520,15.192, 4,13.674, 3,14.374, 3,13.211, 1,12.722, 4

17.929814,-72.124306                    ,017.9298648,-72.1243137,12.219, 0,12.135, 0,12.108, 0,12.213, 1,12.343, 1

18.112667,-71.441185                    ,018.1127783,-71.4411892,      ,  ,      ,  ,      ,  ,      ,  ,      ,

18.146575,-73.159828                    ,018.1465545,-73.1598642,15.325, 2,13.903, 1,14.584, 2,13.403, 0,12.925, 1

18.284948,-73.339905                    ,018.2849980,-73.3399423,13.397, 0,12.787, 1,13.071, 2,12.672, 1,12.529, 1

18.377089,-73.336182                    ,018.3770824,-73.3362050,10.643,11,10.414, 4,10.904, 5,10.247, 1,10.304, 1

