ra,dec,target,total_offsets,offset_telescopes,discard_telescopes,time_start,time_end,visual_check,discard_lc
85.050738,-69.668045,1235,,,,,,1.0,1.0
85.240855,-69.258659,1244,,,,,,,1.0
85.535084,-69.211502,1247,,,,,,1.0,1.0
85.854866,-69.248528,1248,,,,,,1.0,1.0
85.334992,-69.085365,1249,,,Emnji,,,,
85.000957,-68.477524,1251,,,i,,,,
85.44976,-67.424591,1254,,,,,,,
85.621564,-67.328308,1256,,,,,,1.0,1.0
86.252525,-67.176193,1258,,,,,,,1.0
74.787743,-65.667702,1261,,,,,,1.0,
77.812733,-65.96006,1262,,,H,,,,
80.420956,-65.868645,1266,,,,,,,1.0
80.257105,-65.800743,1267,,,,,,1.0,1.0
81.94343,-65.682083,1269,,,lpGH,,,,

