# ra dec
70.940366 -68.140968
70.956826 -69.304626
71.327625 -69.27739
71.40502 -70.251076
71.533928 -68.915482
71.805187 -69.694618
71.888462 -69.242455
71.975142 -69.179344
72.030049 -69.468002
72.255617 -68.976868
72.268664 -68.907272
72.296492 -68.828819
72.30168 -69.456535
72.306186 -69.787003
72.308488 -68.96991
72.329389 -69.431839
72.47404 -69.754547
72.485769 -69.755859
72.513294 -68.259689
72.569551 -69.969131
72.572915 -69.397163
72.593866 -69.332047
72.63174 -69.56562
72.654389 -69.99234
72.662716 -69.983589
72.664564 -69.990669
72.667214 -69.712425
72.676501 -69.492973
72.717658 -69.672447
72.73027 -69.984634
72.732719 -69.431274
72.754558 -68.86599
72.782142 -70.277702
72.806542 -69.194733
72.810664 -68.962128
72.937831 -69.504936
72.937915 -69.77256
72.941734 -68.886284
72.973103 -68.432289
72.976371 -69.024078
72.992118 -69.426094
73.033181 -66.818192
73.039665 -70.505318
73.073257 -66.912819
73.080188 -69.078506
73.125306 -68.580437
73.138405 -69.566078
73.206056 -70.268257
73.222376 -67.095154
73.245894 -69.880737
73.291444 -66.960022
73.297462 -68.648354
73.355576 -68.916763
73.394164 -67.078598
73.404957 -69.718651
73.422152 -69.073898
73.430335 -68.714798
73.512351 -69.834541
73.523972 -69.765968
73.543649 -66.599892
73.559379 -69.21019
73.566326 -66.301208
73.573663 -67.093658
73.587906 -67.100311
73.59903 -70.901611
73.645546 -66.646965
73.653487 -69.339485
73.667805 -66.465866
73.672778 -69.4366
73.678207 -69.285744
73.691707 -68.962776
73.708893 -66.939491
73.738997 -66.752464
73.7477 -67.018677
73.764138 -68.222588
73.770646 -69.798615
73.7762 -67.475845
73.790355 -69.486183
73.791937 -66.845169
73.816372 -66.749367
73.83998 -67.436485
73.885345 -69.962517
73.887955 -67.338417
73.902594 -70.049271
73.918478 -69.444687
73.919471 -69.87233
73.936235 -69.310028
73.951599 -66.494888
73.970039 -69.706245
73.974836 -66.416481
73.978905 -69.725128
74.058839 -67.413483
74.063274 -66.20369
74.073144 -66.305267
74.108788 -69.673508
74.114236 -67.933502
74.114566 -69.379623
74.118794 -69.711594
74.127341 -66.302498
74.145976 -66.875214
74.147677 -68.25647
74.151578 -69.557594
74.160742 -69.549843
74.162029 -69.570976
74.163857 -67.330376
74.166304 -66.743538
74.166683 -69.698967
74.182526 -67.488174
74.210815 -66.409729
74.213229 -66.530151
74.215164 -68.005409
74.216418 -69.454292
74.227917 -67.086021
74.231543 -67.486946
74.253569 -71.013367
74.257486 -67.995209
74.284954 -67.046066
74.286438 -66.866669
74.286767 -66.39032
74.290445 -67.022011
74.295525 -67.340118
74.320065 -68.410988
74.353067 -68.844727
74.369582 -66.51738
74.375082 -69.421265
74.420186 -66.786026
74.432613 -66.857719
74.434938 -69.521049
74.437683 -65.708374
74.445788 -69.215889
74.447295 -69.391327
74.462319 -68.413147
74.467946 -69.392502
74.489212 -69.538612
74.504841 -68.799683
74.512659 -68.906418
74.523225 -69.454338
74.525095 -67.241402
74.527298 -67.241653
74.537554 -67.306412
74.565514 -70.532059
74.581543 -68.45446
74.636575 -70.346024
74.647207 -67.412933
74.650541 -70.110649
74.668893 -70.527405
74.668979 -70.162468
74.676973 -69.690598
74.677435 -70.612877
74.714423 -67.052444
74.717101 -69.425728
74.787743 -65.667702
74.834295 -68.843079
74.921413 -69.4561
74.931386 -68.523003
74.952992 -67.818863
74.964046 -70.222679
74.998596 -67.085793
75.016441 -67.454796
75.031533 -68.449997
75.04305 -67.152191
75.079411 -69.833038
75.106893 -69.533424
75.133394 -67.940735
75.136946 -70.496994
75.138724 -67.541496
75.158007 -67.764633
75.170337 -66.475151
75.199273 -68.629486
75.206093 -68.119324
75.206554 -68.434021
75.209047 -69.642174
75.229871 -66.637321
75.24744 -66.644096
75.255055 -66.10524
75.322787 -67.305038
75.343363 -70.258026
75.346114 -65.875885
75.360439 -69.272842
75.380222 -66.954361
75.384327 -68.178627
75.386393 -68.220688
75.45873 -66.130112
75.461606 -69.414696
75.480705 -70.525101
75.508911 -70.1511
75.53078 -71.33699
75.57528 -66.10759
75.626004 -70.634857
75.651005 -69.022133
75.713222 -69.08429
75.744805 -65.93792
75.758785 -67.829941
75.767477 -70.950439
75.783619 -66.230949
75.786776 -66.959686
75.787382 -66.448753
75.792006 -70.16497
75.816335 -66.624954
75.826931 -69.918381
75.835266 -69.178841
75.843004 -66.369789
75.849929 -68.925583
75.860374 -69.148941
75.876336 -69.121529
75.936254 -69.100464
75.948326 -66.530838
75.951584 -66.133018
75.956276 -68.934052
76.01716 -68.196632
76.021395 -69.018661
76.04151 -67.330482
76.049455 -67.547256
76.051742 -67.416496
76.056509 -66.43293
76.059927 -66.431381
76.061782 -66.539909
76.062157 -66.431305
76.064453 -69.026779
76.077424 -70.688591
76.077504 -68.926216
76.133796 -66.319298
