RA,DEC,overall_mean,overall_median,overall_mean_mag,overall_median_mag,offset_flag,chi_squared_68,chi2_threshold_68,chi_flag_68,chi_squared_95,chi2_threshold_95,chi_flag_95,chi_squared_997,chi2_threshold_997,chi_flag_997,amplitude_5,lower_percentile_5,upper_percentile_5,mag_amplitude_5,amplitude_1,lower_percentile_1,upper_percentile_1,mag_amplitude_1,largest_amp,best_period,alarm_level_flag,std_amplitude,logT,logL
83.291798,-67.733246,30.9152819614711,30.96,12.676042031523645,12.673000000000002,0.0,98368.77188841307,585.2601756328672,0.0,98368.77188841307,626.6502234984778,0.0,98368.77188841307,667.1458785024212,0.0,5.393500000000003,28.1335,33.527,0.1905000000000001,6.723799999999994,27.532,34.255799999999994,0.2369000000000003,8.346999999999998,204.09744860174092,0.0,1.542316209471975,3.661678631879852,4.687016281093459
83.371852,-67.338905,7.736936842105263,7.759,14.179252631578947,14.175500000000005,0.0,6218.1527373588615,584.2463085553765,0.0,6218.1527373588615,625.6014649701198,0.0,6218.1527373588615,666.0644618717845,0.0,0.8467500000000001,7.28635,8.1331,0.119550000000002,1.1462000000000003,7.10952,8.25572,0.1619299999999999,1.693999999999999,476.3223662362957,0.0,0.2249617868784732,3.607532728386636,4.328984728380588
83.400133,-67.500008,23.719762741652023,23.706,12.962374340949037,12.963,0.0,6741.6180462098555,583.2324292714626,0.0,6741.6180462098555,624.552663540197,0.0,6741.6180462098555,664.9829736659029,0.0,0.9324000000000012,23.2838,24.2162,0.041999999999998,1.50244,22.9708,24.47324,0.0692799999999991,2.094000000000001,407.5887331867411,0.0,0.3545159390216584,3.7826626300754738,4.142099473618925
83.401523,-69.386848,9.138993277310924,9.228,14.003828571428572,13.987,0.0,112316.07238398906,609.5894051010607,0.0,112316.07238398906,651.8078441697387,0.0,112316.07238398906,693.0788825963207,0.0,3.1506,7.46,10.6106,0.3819999999999997,4.392959999999994,6.73556,11.128519999999996,0.5457199999999993,5.6,80.2283277771322,0.0,0.9951998476899528,3.665410331422831,4.08753775975765
83.437062,-67.000183,42.86069122807017,42.817499999999995,12.319982456140352,12.321,0.0,20771.00320870457,584.2463085553765,0.0,20771.00320870457,625.6014649701198,0.0,20771.00320870457,666.0644618717845,0.0,1.7525499999999994,42.03515,43.7877,0.0439999999999969,2.7908199999999965,41.6159,44.40672,0.0703099999999992,3.786000000000002,439.58120130355945,0.0,0.564883075413743,3.877550962474086,4.388588472900606
83.475324,-68.799622,17.901869712351946,17.895,13.267910321489,13.268000000000002,0.0,10318.044376775246,605.5350023342916,0.0,10318.044376775246,647.616555134617,0.0,10318.044376775246,688.75946436738,0.0,0.794000000000004,17.499499999999998,18.2935,0.0485000000000006,1.2465999999999973,17.3108,18.5574,0.0753000000000021,1.637999999999998,2.312190227489905,1.0,0.170073032018463,3.839577565246478,4.02057772097808
83.492801,-68.694839,27.39247554806071,27.395,12.806133220910624,12.806,0.0,33446.24200191955,607.5622267200927,0.0,33446.24200191955,649.7122804999706,0.0,33446.24200191955,690.9193083715928,0.0,1.4915999999999985,26.666600000000003,28.1582,0.059000000000001,2.3069600000000037,26.24264,28.549600000000005,0.0907199999999992,3.007999999999999,327.08240819209993,0.0,0.3638417462668766,3.9482999604278866,4.322240255516469
83.504781,-70.712234,40.84033276740237,40.833,12.37256027164686,12.373,0.0,103239.0122140588,603.50773170925,0.0,103239.0122140588,645.5206672501085,0.0,103239.0122140588,686.5993492107091,0.0,2.6178000000000026,39.6202,42.238,0.068999999999999,3.8877999999999986,39.0058,42.8936,0.1037199999999991,4.902000000000001,390.0354477604769,0.0,0.4838254871757125,3.908163736162351,4.449396527987199
83.535131,-68.717476,17.29712393887946,17.296,13.305259762309,13.305,0.0,11527.994663115369,603.50773170925,0.0,11527.994663115369,645.5206672501085,0.0,11527.994663115369,686.5993492107091,0.0,0.8534000000000006,16.8838,17.7372,0.0535999999999994,1.288560000000004,16.710279999999997,17.99884,0.0809999999999995,1.5050000000000026,1.248201112804574,1.0,0.0999195942443818,3.838387500608377,4.025131923844942
83.546271,-69.42907,60.65527993254637,60.732,11.943005059021925,11.942000000000002,0.0,102797.9542426547,607.5622267200927,0.0,102797.9542426547,649.7122804999706,0.0,102797.9542426547,690.9193083715928,0.0,2.858000000000004,59.1326,61.9906,0.0507999999999988,4.189320000000002,58.46336,62.65268,0.0751600000000003,5.651999999999994,968.0420217873768,0.0,0.7921735219564507,3.8186193198445753,4.569706397614981
