ra,dec,2MASS,ra_gaia,dec_gaia,parallax,pmra,pmdec,pm,ra_error,dec_error,parallax_error,parallax_over_error,pmra_error,pmdec_error,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,astrometric_params_solved,astrometric_sigma5d_max,duplicated_source,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_bp_mean_flux,phot_rp_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,Separation_1,covariance,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Imag,e_Imag,uvw1_mag,uvw1_mag_err,uvw2_mag,uvw2_mag_err,uvm2_mag,uvm2_mag_err,flag,logL,logT
82.71537,-67.028183,05305168-6701414,82.7153553711622,-67.02820930947541,0.021884727752726214,1.718638186639534,0.4941546679766592,1.78826904296875,0.011799747124314308,0.011391275562345982,0.011555434204638004,1.8938905000686646,0.015057994984090328,0.015798227861523628,1.1859326362609863,531.43798828125,0.07830943912267685,6.110217094421387,1.048071265220642,31,0.02256932482123375,false,12.347403526306152,12.606812477111816,11.926810264587402,216763.09781873698,123791.79644213097,134410.7877525702,25.66851806640625,8444.7060546875,47.638458251953125,2598.568603515625,36.1590690612793,3717.208251953125,1.191174030303955,0.0969185774597719,0.44261711255086533,11.445,11.217,11.074,0.026,0.03,0.023,AAA,13.256,0.186,12.794,0.066,12.378,0.168,10.842,0.535,,,,,,,1.0,4.325607236457942,3.7684192586611873
82.717271,-68.693733,05305214-6841374,82.71721002777413,-68.69375004487304,-0.012359473754464556,1.7775350836547859,0.5737840783785865,1.8678487539291382,0.01602679304778576,0.01751197874546051,0.017165306955575943,-0.720026433467865,0.02034115046262741,0.023959366604685783,1.9881072044372559,813.1146850585938,0.1475650519132614,17.49163246154785,1.0835096836090088,31,0.033375367522239685,false,12.474869728088379,12.558085441589355,12.29271125793457,192751.93347448064,129474.04432791434,95956.353837608,84.28564453125,2286.88916015625,168.43118286132812,768.7058715820312,100.38958740234375,955.8397216796875,1.1695363521575928,0.10062930262133982,0.5875409016373558,12.048,11.973,11.914,0.021,0.024,0.023,AAA,12.573,,12.704,,12.586,,11.097,0.14,13.383654136263145,0.043544095705516664,13.83689215702264,0.044396609993478886,13.72343390970028,0.045459506823454836,1.0,4.360068647289316,3.8766035081338885
82.751967,-69.18647,05310047-6911112,82.75196538017889,-69.18646086577992,0.004632782815591237,1.6375235491824585,0.4826059711773484,1.7071590423583984,0.012209489941596985,0.013737643137574196,0.013296564109623432,0.34841954708099365,0.0161591786891222,0.017537083476781845,-3.490619421005249,245.19436645507812,0.0,0.0,0.85655277967453,31,0.024990493431687355,false,13.29235553741455,13.424738883972168,13.01624584197998,90782.98973136865,58280.2198554658,49278.76381036243,114.02433776855469,796.1720581054688,196.9867706298828,295.8585510253906,170.1362762451172,289.64288330078125,1.1847922801971436,0.032948409568815944,0.7950279085604767,12.672,12.555,12.486,0.026,0.027,0.038,AAA,12.693,0.01,13.394,0.01,13.226,0.01,12.61,0.123,13.403876081669596,0.04480553152679469,13.836756564691072,0.04583705709612496,13.543354359952133,0.04626834329036862,1.0,4.002228999584012,3.837800052497645
83.086202,-68.846603,05322068-6850477,83.0862369832315,-68.84657652535915,0.0020289024687576013,1.565663696722063,0.43560097494828837,1.6251311302185059,0.011433400213718414,0.012193129397928715,0.012026491574943066,0.16870278120040894,0.015632331371307373,0.017437931150197983,-0.04426221922039986,302.3514404296875,0.0,0.0,0.9969632029533386,31,0.02461928315460682,false,13.105807304382324,13.347321510314941,12.70555305480957,107801.27198529114,62587.613457963176,65604.99377136955,34.121116638183594,3159.37109375,40.153099060058594,1558.724365234375,33.84966278076172,1938.12841796875,1.1891567707061768,0.1055898359656421,1.2544868114369505,12.203,12.032,11.913,0.024,0.028,0.027,AAA,14.123,0.01,13.694,0.01,13.266,0.01,11.991,0.142,15.502006188516352,0.05381896008902173,16.703203671059114,0.07337993279327279,16.822821492989803,0.09328816220683038,1.0,4.069520026269038,3.7941565760488163
83.187091,-66.874779,05324490-6652292,83.18715873195138,-66.87477737367631,-0.022278405800640045,1.6660381576726342,0.563828129502513,1.7588590383529663,0.01634880341589451,0.016010090708732605,0.017243066802620888,-1.2920210361480713,0.02098483219742775,0.020328357815742493,1.8617397546768188,973.9970703125,0.154907688498497,23.40232276916504,1.0749543905258179,31,0.030947118997573853,false,12.44559383392334,12.502676963806152,12.315360069274902,198020.07364000476,136253.0665747005,93975.36057179858,30.035478591918945,6592.8720703125,66.45655822753906,2050.257568359375,32.60017395019531,2882.664306640625,1.1626520156860352,0.09594305758248323,0.8682375758720576,12.114,12.038,12.016,0.024,0.021,0.024,AAA,12.603,0.11,12.428,0.073,12.455,0.027,11.331,0.316,,,,,,,1.0,4.4367305371290735,3.917205079701967
83.242337,-67.555969,05325816-6733214,83.24238521461074,-67.55597308609907,-0.00498545177880634,1.6775676057118962,0.47297291275109876,1.7429677248001099,0.01622880809009075,0.017277956008911133,0.016669154167175293,-0.2990824580192566,0.01950119622051716,0.023360872641205788,-0.35132867097854614,815.3036499023438,0.15392686426639557,21.399858474731445,0.9843614101409912,31,0.03366120159626007,false,12.42536449432373,12.486825942993164,12.269821166992188,201744.17791407896,138256.85013245296,98000.84330098894,186.5784912109375,1081.283203125,349.79071044921875,395.25592041015625,256.3536071777344,382.2877502441406,1.171075701713562,0.06787970877616999,0.555640125798072,12.11,12.007,11.982,0.024,0.029,0.023,AAA,12.113,0.01,12.584,0.01,12.506,0.01,10.79,0.119,,,,,,,1.0,4.3506652810012465,3.8824275331024816
83.291798,-67.733246,05331003-6743596,83.29184434711941,-67.73324023974527,0.005496850589695279,1.6124778713561125,0.5445037679846302,1.7019309997558594,0.009856748394668102,0.010423436760902405,0.010295763611793518,0.5338943600654602,0.013285999186336994,0.014233182184398174,-4.037148475646973,349.7733154296875,0.0336935892701149,1.0246096849441528,0.8332257270812988,31,0.020025715231895447,false,11.915580749511719,12.517035484313965,11.163349151611328,322637.1237362271,134463.00790623482,271530.5524878801,584.2085571289062,552.2636108398438,964.20654296875,139.45457458496094,1276.44140625,212.7246551513672,1.258359670639038,0.06653652867535512,1.1171276961791152,10.18,9.774,9.497,0.023,0.024,0.019,AAA,14.033,0.01,13.344,0.01,12.316,0.01,9.533,0.094,,,,,,,1.0,4.687016281093459,3.661678631879852
83.400133,-67.500008,05333603-6730000,83.40012598284662,-67.50000848905987,0.01607329449629738,1.6336811501382378,0.5818597215138528,1.734207272529602,0.013056515716016293,0.015974076464772224,0.014477524906396866,1.1102238893508911,0.016096798703074455,0.020030468702316284,-0.5945287942886353,558.5303344726562,0.10681150108575821,8.756765365600586,0.9749837517738342,31,0.029373308643698692,false,12.944319725036621,13.217392921447754,12.500588417053223,125088.91167450341,70543.91129571172,79236.06572642796,37.08539962768555,3372.99609375,35.84572219848633,1967.9869384765625,37.578887939453125,2108.526123046875,1.1973881721496582,0.009826265939690295,1.1074036590413698,11.962,11.734,11.636,0.023,0.025,0.024,AAA,13.943,0.01,13.544,0.01,13.106,0.01,11.259,0.182,,,,,,,1.0,4.142099473618925,3.7826626300754738
83.437062,-67.000183,05334489-6700006,83.43712170277203,-67.00019992899624,-0.02688003594734563,1.679077261303764,0.5551955163214901,1.7684859037399292,0.014132649637758732,0.014740237034857273,0.014272266067564487,-1.8833755254745483,0.01944989711046219,0.019446130841970444,1.2245309352874756,805.5780639648438,0.12130439281463623,14.478047370910645,1.0484098196029663,31,0.02898569405078888,false,12.4525785446167,12.537065505981445,12.273167610168457,196750.27117927241,132005.05465460956,97699.25311048176,36.23720169067383,5429.5107421875,57.29937744140625,2303.778076171875,36.817508697509766,2653.6083984375,1.1674916744232178,0.1037628045446554,0.778621920611192,11.983,11.93,11.85,0.028,0.028,0.027,AAA,12.826,0.022,12.556,0.126,12.482,0.077,10.883,0.129,,,,,,,1.0,4.388588472900606,3.877550962474086
83.492801,-68.694839,05335827-6841414,83.49280421179115,-68.69485275489455,-0.05075689076195512,1.6869648278595986,0.5183327137993772,1.7648000717163086,0.014773830771446228,0.016172930598258972,0.015586291439831257,-3.2565085887908936,0.017961084842681885,0.021044708788394928,-2.1861073970794678,775.1781005859375,0.13179057836532593,14.021102905273438,0.9138322472572327,31,0.03058451972901821,false,12.853232383728027,12.898322105407715,12.737582206726074,136036.01448276686,94642.86224431335,63697.92302253798,89.66239929199219,1517.2025146484375,161.0453338623047,587.6784057617188,103.54121398925781,615.1939086914062,1.1639622449874878,0.04969550772154354,0.6277632532156253,12.583,12.534,12.506,0.026,0.021,0.026,AAA,12.693,0.01,13.034,0.01,12.976,0.01,12.041,0.122,13.044489402828875,0.04445823532752957,13.363223743221473,0.044023946138494516,13.219815033863167,0.0445619970582333,1.0,4.322240255516469,3.9482999604278866
