RA,DEC,ebv_eden,ebv_sf,av_eden,av_sf
13.767206,-72.472443,0.04543,0.33488,0.14403,1.01135
13.784495,-72.567459,0.04567,0.35227,0.14477,1.06384
13.789353,-72.515457,0.04565,0.33844,0.14471,1.02208
13.79491,-72.45266,0.04528,0.33886,0.14352,1.02335
13.802364,-72.436417,0.04517,0.34121,0.14319,1.03044
13.803228,-72.51178,0.04559,0.33937,0.14453,1.02489
13.813378,-72.33728,0.04462,0.32286,0.14145,0.97504
13.841566,-71.789406,0.0413,0.10839,0.13093,0.32734
13.863108,-71.555687,0.03923,0.06706,0.12435,0.20252
13.865672,-72.729294,0.04522,0.37587,0.14334,1.13512
13.869121,-72.487114,0.04531,0.3483,0.14362,1.05186
13.875625,-72.480446,0.04526,0.35041,0.14347,1.05823
13.89679,-72.545395,0.04541,0.34757,0.14394,1.04967
13.924053,-72.303223,0.0444,0.4002,0.14074,1.2086
13.948352,-72.658638,0.0451,0.36331,0.14296,1.0972
13.952626,-73.043114,0.04532,0.18885,0.14366,0.57032
13.972648,-72.196625,0.04396,0.28318,0.13935,0.8552
13.995879,-71.522568,0.03874,0.07301,0.12282,0.2205
13.998293,-72.175369,0.04387,0.25819,0.13906,0.77974
14.002332,-72.83284,0.04475,0.36662,0.14187,1.10718
14.004046,-72.460983,0.04491,0.38111,0.14237,1.15095
14.007276,-72.499931,0.04505,0.3672,0.1428,1.10894
14.018476,-71.629814,0.03964,0.08036,0.12565,0.2427
14.029873,-72.470512,0.04489,0.38079,0.14231,1.14999
14.037303,-72.277908,0.04422,0.43439,0.14016,1.31186
14.045771,-72.44059,0.04476,0.4011,0.14189,1.21133
14.057666,-72.04567,0.04305,0.22183,0.13646,0.66992
14.061519,-72.42244,0.04468,0.41484,0.14163,1.25282
14.087205,-72.84552,0.04451,0.35698,0.1411,1.07807
14.090327,-72.459961,0.04474,0.39567,0.14182,1.19492
14.094011,-72.476639,0.04478,0.38857,0.14195,1.17349
14.099992,-72.487503,0.0448,0.38674,0.142,1.16797
14.10552,-72.471741,0.04474,0.39247,0.14183,1.18527
14.113846,-72.468483,0.04471,0.39528,0.14174,1.19376
14.115696,-73.507523,0.04325,0.11908,0.1371,0.35961
14.127534,-72.231476,0.04391,0.37759,0.1392,1.14032
14.128729,-71.77256,0.04075,0.12809,0.12917,0.38685
14.129824,-72.152824,0.04355,0.26796,0.13804,0.80925
14.148048,-72.254349,0.04399,0.41522,0.13945,1.25395
14.159138,-72.310638,0.04425,0.45332,0.14026,1.36904
14.19015,-72.242996,0.04389,0.39659,0.13912,1.19769
14.200639,-71.179138,0.03528,0.04532,0.11182,0.13687
