star_idx,RA,DEC,overall_mean,overall_median,overall_mean_mag,overall_median_mag,offset_flag,chi_squared_68,chi2_threshold_68,chi_flag_68,chi_squared_95,chi2_threshold_95,chi_flag_95,chi_squared_997,chi2_threshold_997,chi_flag_997,amplitude_5,lower_percentile_5,upper_percentile_5,mag_amplitude_5,amplitude_1,lower_percentile_1,upper_percentile_1,mag_amplitude_1,largest_amp,largest_amp_mag,best_period,alarm_level_flag,std_amplitude,logT,logT_std,logL,logL_std,binary,SIMBAD_maintype,SIMBAD_othertypes,teff,teff_std
720,83.437062,-67.000183,43.02672975372817,43.001,12.315795717687186,12.316678632718776,0,50930.003580983,1264.7821352501387,0,50930.003580983,1325.100266317982,0,50930.003580983,1383.31814948174,0,1.8893999999999949,42.137100000000004,44.0265,0.0470000000000006,2.778606105181723,41.73478,44.51338610518172,0.07032136728122396,3.33628742629233,0.0840000000000014,291.49343718694087,0,0.45402573254050543,3.893476021004853,0.0106720430125744,4.243089217200396,0.0078999008353798,True,Star,*|MIR|NIR,7824.85,192.28228597559368
721,83.475324,-68.799622,17.929579994993816,17.927251163944785,13.266221342923398,13.266473142481525,0,39835.11468128278,2983.3870424103293,0,39835.11468128278,3075.4275350692083,0,39835.11468128278,3163.358247972741,0,0.702322060009724,17.585927337822508,18.28824939783223,0.04249385927182203,1.0438588612839084,17.406206282629018,18.450065143912926,0.06344150247582725,1.2373752679073071,0.07537590074121425,395.89009568465536,0,0.047012761234703715,3.896830612948729,0.0232541795423216,3.913865684012979,0.0066559404898327,False,Star,*|MIR|NIR,7885.525,422.2282846695611
722,83.492801,-68.694839,27.31768403882627,27.31839054264515,12.809082270587746,12.809,0,133529.05165611155,3010.551144818431,0,133529.05165611155,3103.004642343924,0,133529.05165611155,3191.3222392699054,0,1.3912905080590612,26.62856060675478,28.019851114813843,0.0550578259207235,1.9854985007737547,26.317945724701893,28.303444225475648,0.07887544371763688,2.4450000000000003,0.09748711678028954,328.19307215092584,0,0.17500972464941247,3.9309973965584577,0.0375843391470368,4.113237165817598,0.0288821964262377,True,Star,*|MIR|NIR,8530.95,738.2781301785933
723,83.504781,-70.712234,40.76900135085203,40.76521878629835,12.374380793314382,12.374405998094804,0,303428.9546703205,2986.405313027574,0,303428.9546703205,3078.4917882655923,0,303428.9546703205,3166.4655755060435,0,2.1616416785651253,39.69133364085993,41.852975319425056,0.05759616799906908,3.0852005142166448,39.222046663318814,42.30724717753546,0.08221068774452611,3.6559301374614037,0.09743048944922705,380.8475217849803,0,0.2613346429751372,3.94857432901705,0.0530369553235038,4.350757980980581,0.0417210376032365,False,Star,*|MIR|NIR,8883.3,1084.8472749654672
724,83.535131,-68.717476,17.323538483400192,17.32168103429759,13.303558855067807,13.303764008946708,0,40177.7865758987,2966.283332805347,0,40177.7865758987,3058.0628143522936,0,40177.7865758987,3145.749024378582,0,0.7200835146986897,16.96654124159986,17.68662475629855,0.04523517908371666,1.0016048403811944,16.827069618192027,17.82867445857322,0.06229648944310284,1.2156175368663789,0.07676400894671076,853.0681971065029,1,0.02533407719354441,3.907624961773148,0.0589678614723486,3.942184340332741,0.0194949835594746,False,Star,*|MIR|NIR,8083.975,1097.6301514512984
725,83.546271,-69.42907,60.350998160078106,60.358429188014696,11.948447857131505,11.948,0,424603.0877861817,3020.611734352529,0,424603.0877861817,3113.217720694251,0,424603.0877861817,3201.678162328777,0,2.520281421435172,59.06108218379448,61.581363605229654,0.045529684540264626,3.664117976162082,58.47396239967793,62.13808037584001,0.06642788520099252,4.6394431796712325,0.08334228415396971,1003.8743742012668,0,0.007089608034956285,3.931125920499324,0.0264661263308176,4.530022607943201,0.0108686252595779,False,Supergiant,*|MIR|NIR|sg*,8533.475,520.0343011523375
726,83.578245,-69.438858,29.985251964421785,29.994456006526864,12.707876444827571,12.707546554380954,0,89431.96354330482,2993.447908376258,0,89431.96354330482,3085.641585476637,0,89431.96354330482,3173.7157944591713,0,1.1529459736944467,29.393989518451995,30.546935492146442,0.04192243430881781,1.6739951855295878,29.138085093704294,30.812080279233882,0.06043294656007703,1.9952704518427602,0.07200000000000095,3.800421768652793,0,0.31346515810698683,3.9732664361085286,0.0860010249289012,4.187330577226681,0.0594972408617372,False,Star,*|MIR|NIR,9403.0,1862.0260470788264
727,83.579468,-67.108109,40.26793385318356,40.251,12.387872402252398,12.388000000000002,0,92294.97129177852,1270.8383884796883,0,92294.97129177852,1331.298083214285,0,92294.97129177852,1389.6485406717318,0,2.659760596976625,38.9154,41.57516059697662,0.0717823022536006,3.7099108827866445,38.37867033089873,42.08858121368537,0.10025876270431944,4.656293611291723,0.1254557556340039,468.10337706886315,0,0.15831900419738462,4.146128035678238,0.0,4.546826441644242,0.0113031445013626,True,Star,*|MIR|NIR,14000.0,0.0
728,83.666828,-67.502647,54.66083893513784,54.717356795376816,12.055991019581755,12.055,0,107220.83506034443,1265.7915202147358,0,107220.83506034443,1326.133268942176,0,107220.83506034443,1384.3732700101202,0,2.5188932829831856,53.37872922536916,55.89762250835235,0.04999804104444472,3.424587485858652,52.90547767446322,56.33006516032187,0.06857744403110999,4.457999999999998,0.08800000000000274,321.8719478657228,0,0.473010923897148,3.928842464443374,0.0650024132974397,4.304128998150655,0.0297055496131013,True,Supergiant,*|MIR|NIR|sg*,8488.725,1270.5379271690397
729,83.724042,-69.133911,6.131610469940188,6.2316314731654305,14.438962078364733,14.413250502148145,0,398936.33697647485,3042.744675006837,0,398936.33697647485,3135.6852400818907,0,398936.33697647485,3224.4591004536524,0,2.2923077089315074,4.972877593682109,7.265185302613617,0.4113538024337444,3.1656877882709757,4.66795162963041,7.833639417901386,0.5622283928983922,3.9515510641052893,0.718691199023608,316.9645847119645,0,0.5900144057373106,3.623812473870067,0.0098798139066018,4.341285354580164,0.0086244495997749,False,YellowSG,*|LP?|MIR|NIR|pA?|s?r|s*y|Y*?|Y*O,4205.45,95.67025399778136
730,83.728128,-67.71991,14.237481779589459,14.238148310679259,13.51665427642659,13.516451300865644,0,114821.8814306912,2850.573719766902,0,114821.8814306912,2940.5672854930003,0,114821.8814306912,3026.5805417499087,0,0.8125483762597216,13.83761747554596,14.650165851805681,0.062000000000001165,1.2160023440038188,13.633788151854715,14.849790495858533,0.09297047531461722,1.5136121554723676,0.11499999999999844,10.907101706903049,0,0.1992495565759006,3.8740307638447025,0.020224039181257,3.9271445826382334,0.0071326904059624,False,Star,*|NIR,7482.225,348.42904496468145
731,83.805197,-69.24292,33.38308287461538,33.3927431220671,12.591356193212818,12.59072789978986,0,167399.2565352275,3022.623840071384,0,167399.2565352275,3115.260293505992,0,167399.2565352275,3203.7492753629867,0,1.5664677700971623,32.59150957599696,34.15797734609412,0.05131214622136682,2.2605160404313835,32.20452072492146,34.46503676535284,0.07341018683838207,2.7860676213960183,0.09066860928439624,940.8433837666097,0,0.041339806514132604,3.903956354059725,0.0199286802785576,4.16958583136699,0.0074730035103013,False,Star,*|NIR,8015.975,367.8329095866763
732,83.863142,-69.231224,45.00854259690893,45.033023474510564,12.267116124627524,12.26610067003983,0,544430.8668966882,3028.660132925438,0,544430.8668966882,3121.3879264827056,0,544430.8668966882,3209.9624717415295,0,3.478381877205379,43.23097911643566,46.70936099364104,0.08368925287022932,4.878335796338739,42.501706822632784,47.38004261897152,0.11786326156766336,6.146477156219426,0.1485219274926628,752.2469174664147,0,0.19760860557907103,4.0738209563298025,0.0614677298378733,4.513700299990084,0.0636775572689162,False,BlueSG,*|MIR|NIR|s*b,11852.8,1677.5822364343276
733,83.899876,-69.118477,25.702560542201578,25.70071066326773,12.875314862794573,12.87526056502298,0,210289.01003824087,3013.569332359239,0,210289.01003824087,3106.068603406701,0,210289.01003824087,3194.429078912523,0,1.6094241977788322,24.906725544504553,26.516149742283385,0.06808437727812766,2.2377169469355174,24.596052265235375,26.833769212170893,0.09461255884836461,2.813233691337672,0.11826056502298066,1038.1203101353765,0,0.01792111682706299,3.9088293689981137,0.0507872213851908,4.114632789458302,0.0253552357775624,True,Star,*|NIR,8106.425,947.9807325969238
