star_idx,ra,dec,hr_zone,priority,cepheid_like,spikes_irregular,regular_spikes,long_trend,unknown,unclear_irregular,regular,lc_issues,two_dips,big_spike,selected,eclipsing_binary_cands,overall_median,overall_mean_mag,overall_median_mag,offset_flag,chi_squared_68,chi2_threshold_68,chi_flag_68,chi_squared_95,chi2_threshold_95,chi_flag_95,chi_squared_997,chi2_threshold_997,chi_flag_997,amplitude_5,lower_percentile_5,upper_percentile_5,mag_amplitude_5,amplitude_1,lower_percentile_1,upper_percentile_1,mag_amplitude_1,largest_amp,largest_amp_mag,best_period,alarm_level_flag,std_amplitude,logT,logT_std,logL,logL_std,binary,SIMBAD_maintype,SIMBAD_othertypes,teff,teff_std
895,14.091104,-72.464333,,,0,0,0,0,0,0,0,0,0,0,0,0,173.163212427131,10.803521503475997,10.804,0.0,154096.2603590596,1306.163869640358,0.0,154096.2603590596,1367.4426535360792,0.0,154096.2603590596,1426.5601932698323,0.0,4.187517708091804,171.1146,175.3021177080918,0.0259999999999998,5.811912832335025,170.30128631911836,176.1131991514534,0.0360392958137314,6.579336540776069,0.0409999999999985,945.64927602727,0.0,0.0671957106739853,4.146128035678238,0.0,4.872267355394474,0.013438010256111,False,BlueSG,*|NIR|s*b|sg?|V*,14000.0,0.0
896,14.087156,-72.462318,hot_dim,low,0,0,0,0,1,0,0,0,0,0,0,0,210.647,10.590984782521229,10.591,0.0,226419.56976043436,1315.2468443784269,0.0,226419.56976043436,1376.7344387305304,0.0,226419.56976043436,1436.047532337986,0.0,5.303576279664782,208.129,213.43257627966477,0.0269999999999974,7.854822694531521,206.9146565710868,214.76947926561832,0.040055727717954,8.638380284345914,0.0440000000000004,1111.031888327538,0.0,0.0856771981684119,3.9194363683127817,0.0324616295100914,4.209820483758029,0.0083760899387778,False,BlueSG,*|s*b,8306.85,620.9010206949253
897,14.065371,-72.462967,hot_dim,medium,0,0,0,0,1,0,0,0,0,0,0,0,239.77999403838223,10.450311634133351,10.45066377906054,0.0,208319.83538601903,1319.283629203513,0.0,208319.83538601903,1380.8637946385163,0.0,208319.83538601903,1440.2635825384689,0.0,6.011531947013282,236.9588,242.97033194701328,0.0266017325636767,8.742085562426979,235.38040138830308,244.1224869507301,0.0399999999999973,9.919632983944156,0.0450000000000017,237.2568928378118,0.0,1.076004951714292,3.922587935579418,0.0201642786648512,4.236460946277232,0.0117420854288455,False,BlueSG,*|NIR|s*b|s?b|V*,8367.35,388.4957882654586
898,14.075,-72.463905,instability_strip,low,0,0,0,0,1,0,0,0,0,0,0,0,292.963,10.232577816767748,10.233,1.0,353324.90507312573,1325.3387001070316,0.0,353324.90507312573,1387.05745464264,0.0,353324.90507312573,1446.5870336645492,0.0,7.876623530414236,289.459288800905,297.3359123313192,0.028633077138652,11.235460447414823,287.65351525903594,298.88897570645076,0.0416204155958759,12.821810600368169,0.0480000000000018,233.9045660156707,0.0,0.94652147332902,3.712216032350847,0.0304127328778405,4.389971159963008,0.0378973990776193,False,RedSG,*|NIR|s*r,5154.85,360.9833479538911
899,14.078349,-72.463211,,,0,0,0,0,0,0,0,0,0,0,0,0,287.5274203635128,10.25299046034927,10.253,1.0,476372.0939682586,1396.9809757394034,0.0,476372.0939682586,1460.316060089984,0.0,476372.0939682586,1521.3593795196252,0.0,8.609161171638164,283.5931630001758,292.202324171814,0.0320768533535389,13.549052498323933,280.86675863863445,294.4158111369584,0.0512492495945444,16.694500542741764,0.0630768533535413,1042.805881031848,0.0,0.3073845574015064,4.055553199092575,0.0909140158842154,4.9983785274501065,0.0398137558569557,False,RedSG,*|MIR|NIR|s*r|s?r,11364.575,2379.0289656443865
900,14.671736,-72.437637,,,0,0,0,0,0,0,0,0,0,0,0,0,94.66875987710544,11.458935003844951,11.459269735149627,1.0,678154.270952482,2771.0778144106825,0.0,678154.270952482,2859.82331501696,0.0,678154.270952482,2944.6674566521147,0.0,5.519547468728035,92.11187538449006,97.6314228532181,0.0631968319995959,8.065970800171272,90.9120306772612,98.97800147743249,0.0929458894791377,9.657649455023003,0.1109482707607654,489.3010079616924,0.0,0.4375063408402563,4.04796957212993,0.0769056114791956,4.9566646276202375,0.042072890587031,False,BlueSG,*|MIR|NIR|s*b|s?b|sg*,11167.85,1977.6220259442907
901,13.242589,-72.397987,RSG,low,0,0,0,0,1,0,0,0,0,0,0,0,9.56857570877568,13.948894422139803,13.947937503645797,0.0,19590.965080880706,2381.5378653091643,0.0,19590.965080880706,2463.8910122795955,0.0,19590.965080880706,2542.747290174209,0.0,0.7210107814947726,9.194272384347324,9.915283165842096,0.0820000000000025,1.0485360782736528,9.038754269125626,10.08729034739928,0.1187665433147078,1.24657542210889,0.1415955829836193,395.6505958101141,0.0,0.0410680232426094,3.650868246150656,0.0080055418175057,4.024801227957824,0.0072681536743452,False,RedSG_Candidate,*|MIR|NIR|s?r,4475.775,82.5039355121924
902,14.603494,-72.42289,instability_strip,high,1,0,0,0,0,0,0,0,0,0,0,0,6.465059472010868,14.37391097635022,14.373749687162894,0.0,17403.201231192714,3197.661953414998,0.0,17403.201231192714,3292.9110852207054,0.0,17403.201231192714,3383.847522081067,0.0,0.6261405469585908,6.157924490915882,6.7840650378744725,0.1051432183273863,0.8869863552423745,6.0236080119546065,6.910594367196981,0.1494186094506702,1.0631387520070774,0.1791801735065874,1.529482880010047,0.0,0.1843971543917043,3.680797668648567,0.0139955533025283,4.187122921522214,0.0098306347506806,False,RedSG_Candidate,*|MIR|NIR|s?r,4795.1,154.52666436573332
903,13.592742,-72.338356,,,0,0,0,0,0,0,0,0,0,0,0,0,5.222877933253661,14.607958512180767,14.605033580498809,0.0,79270.7610523646,2448.9918038552782,0.0,79270.7610523646,2532.4873841593776,0.0,79270.7610523646,2612.4137895294675,0.0,0.5586361282610071,4.918914163618988,5.477550291879995,0.1163064013938868,0.7855954393090023,4.818982768213468,5.60457820752247,0.1636111113457641,0.9394749649080748,0.1959999999999997,356.32214788392105,1.0,0.0569152998277826,3.661052715278593,0.0112344540981672,4.195655356395268,0.0089708406728764,False,,,4581.975,118.52784219330074
904,13.576145,-72.372658,instability_strip,medium,0,0,0,0,0,0,1,0,0,0,0,0,14.499,13.497264279310317,13.496671572394368,0.0,22832.6711043224,1859.7836463939288,0.0,22832.6711043224,1932.6886047918504,0.0,22832.6711043224,2002.695004299092,0.0,0.9330757572815784,14.023081518374832,14.95615727565641,0.0701313710422528,1.3298884386517589,13.828654335675925,15.158542774327683,0.0996808549654453,1.5204090739565237,0.1144817244708686,407.109427682651,0.0,0.092476770517573,3.6948200995899465,0.0087204790937505,4.426975209060662,0.0073985220678847,False,RedSG_Candidate,*|NIR|s?r,4952.45,99.44343869758328
905,11.743508,-72.273781,RSG,medium,0,1,0,0,0,0,0,0,0,0,0,0,12.05498720622244,13.697215593232285,13.697023017899062,0.0,31588.917947890288,1863.8145422107464,0.0,31588.917947890288,1936.7972547876684,0.0,31588.917947890288,2006.8764819599385,0.0,0.9143808139497054,11.588488827398804,12.50286964134851,0.0822316270305467,1.2455486476208808,11.419415443900292,12.664964091521174,0.1126482864436617,1.545728261312011,0.1400230178990629,398.90522662793023,0.0,0.1031452725823279,3.628386375369375,0.0002554560712923,4.543899904714507,0.0072689577568433,False,YellowSG,*|Ev*|MIR|NIR|s?r|s*y,4249.975,2.4998749968748437
906,13.306341,-72.267021,,,0,0,0,0,0,0,0,0,0,0,0,0,9.79669626821826,13.9229283684354,13.922445895553908,0.0,54426.52673826549,2345.291282917796,0.0,54426.52673826549,2427.023853647542,0.0,54426.52673826549,2505.298835409983,0.0,0.7638273621021252,9.409113492788508,10.172940854890632,0.0845570957448309,1.0714410127518583,9.247981268388836,10.319422281140694,0.1192382163100429,1.3080398568843847,0.1459807694025698,384.64307948610576,1.0,0.097935646175443,3.6352725801123658,0.0111841141551684,4.358122301996188,0.0100660446209224,False,,,4317.9,111.19617799187164
907,13.615561,-72.266136,,,0,0,0,0,0,0,0,0,0,0,0,0,17.1170320427384,13.315380772099571,13.316434052861624,0.0,159841.90504040525,2524.4925407369856,0.0,159841.90504040525,2609.2483351303035,0.0,159841.90504040525,2690.355202684437,0.0,1.0400801983666348,16.65050596065687,17.690586159023503,0.0658405058400166,1.466700894014462,16.467461744256926,17.93416263827139,0.0924877083847057,1.841979124520652,0.116734176400028,4.245731117278186,1.0,0.2809678769093371,3.8639500517840686,0.0158581747561323,4.06847245066552,0.0105071447023816,False,Supergiant,*|NIR|s?b|sg*,7310.55,266.94324771381656
908,13.843193,-72.277374,RSG,low,0,0,0,0,1,0,0,0,0,0,0,0,6.35,14.394422254542665,14.393000000000002,0.0,37443.2523923715,3105.116730756464,0.0,37443.2523923715,3198.9936688750236,0.0,37443.2523923715,3288.6446849823865,0.0,0.7553416765979382,5.961916100235611,6.7172577768335495,0.1295787565176169,1.0686285060387206,5.799459414639048,6.868087920677769,0.1840140057552908,1.285934030737038,0.2204460924030584,360.5935385675717,0.0,0.1105084517134606,3.631278847858964,0.0083713469775373,4.41764901490482,0.0087172255428044,False,YellowSG,*|Ev*|MIR|NIR|s*r|s*y,4278.375,82.4688388120022
909,14.052653,-72.272827,hot_dim,low,0,0,0,0,1,0,0,0,0,0,0,0,12.462,13.661335835466446,13.661042718095228,0.0,23354.222641042463,3205.7089867363675,0.0,23354.222641042463,3301.0764901566495,0.0,23354.222641042463,3392.1238135420363,0.0,0.6905464500650655,12.123820527518854,12.81436697758392,0.0603583975121289,0.9913520709767134,11.97306081011818,12.964412881094892,0.0860973230924138,1.2284881443863256,0.1073276570284704,123.92552404206693,0.0,0.077996388982753,3.856618641699203,0.049149100201189,4.009656355989777,0.006565337257949,False,Star,*|NIR|s?b,7188.175,813.485660214733
910,14.035505,-72.272568,RSG,medium,0,0,0,0,1,0,0,0,0,1,0,0,10.809997470736796,13.815432574423994,13.815446710547016,0.0,47056.80872041988,3217.779425519846,0.0,47056.80872041988,3313.324206533758,0.0,47056.80872041988,3404.5375976708306,0.0,0.8132963165713178,10.4173566545353,11.230652971106618,0.0811802942496644,1.152739167390438,10.23258072761064,11.38531989500108,0.1160269928645085,1.386269390616393,0.1399297787989954,287.0000244411413,0.0,0.0774495049510839,3.645333829341611,0.0135215963905834,4.269383398247444,0.0061360464948629,False,RedSG_Candidate,*|MIR|NIR|Pe*|s?r,4419.1,137.5870270047289
911,14.509452,-72.29908,hot_bright,low,0,0,0,0,1,0,0,0,0,0,0,0,58.41832438798549,11.983582349090586,11.983795279314108,0.0,186438.299465408,3212.75009220486,0.0,186438.299465408,3308.2210482665996,0.0,186438.299465408,3399.36528263042,0.0,2.281736081565228,57.32355144399322,59.605287525558445,0.0422274215638349,3.237878699382179,56.81494354422985,60.05282224361203,0.0602653816750127,3.942586209323444,0.0730000000000004,777.9988738057035,0.0,0.167848398718556,3.8551116241573657,0.0168451302657779,4.732964938586585,0.0089134901638034,False,YellowSG,*|NIR|s?b|s*y,7163.275,277.8444247686104
912,14.953141,-72.273399,RSG,low,0,0,0,0,1,0,0,0,0,0,0,0,4.819270636620305,14.69295973382428,14.692530042954068,0.0,66960.49919299979,3182.573605202665,0.0,66960.49919299979,3277.600385746574,0.0,66960.49919299979,3368.328531607236,0.0,0.607479186406148,4.516602462026478,5.124081648432626,0.1368595977038929,0.8980241008865688,4.367499752347837,5.265523853234406,0.2029132892878529,1.0562746251713735,0.2387116548189531,376.250830562897,0.0,0.0446052597607372,3.662266612395313,0.0133671152054484,4.183891391855829,0.0085295157329915,False,RedSG_Candidate,*|MIR|NIR|s?r,4594.8,141.42298257355486
913,12.54733,-72.189705,RSG,medium,0,1,0,0,0,0,0,0,0,0,0,0,7.505662143491409,14.21202867167438,14.211552360266191,0.0,23672.11074670884,2372.4763978601136,0.0,23672.11074670884,2454.6748490503023,0.0,23672.11074670884,2533.386222606077,0.0,0.7690387101998812,7.123,7.8920387101998815,0.1110000000000006,1.08541436503445,6.951433066454105,8.036847431488555,0.1573663359114121,1.352098893443916,0.1960000000000015,46.3398094675989,0.0,0.168625464454744,3.628388930050312,0.0,4.447019787008377,0.0064867658452588,False,,,4250.0,0.0
914,13.131268,-72.193748,RSG,high,0,1,0,0,0,0,0,0,0,0,0,0,16.249401225559264,13.374668373969484,13.372932569086744,0.0,203754.99620291163,2410.735130306048,0.0,203754.99620291163,2493.584736488633,0.0,203754.99620291163,2572.9060512344686,0.0,2.587931833495997,14.97548703103218,17.563418864528177,0.1731348618265151,3.2896163538077765,14.613618504725174,17.90323485853295,0.220484819996459,4.6564325837262235,0.3131758531903816,246.34296377050063,0.0,0.7777773590523045,3.625998855084044,0.0074713330193522,4.7198912617800985,0.0088049088635689,False,RedSG,*|LP*|MIR|NIR|s*r,4226.675,72.7130963100871
915,13.209195,-72.222206,RSG,low,0,0,0,0,1,0,0,0,0,0,0,0,7.879,14.160354665825963,14.159000000000002,0.0,20271.509735172345,2356.3668298389107,0.0,20271.509735172345,2438.289530142406,0.0,20271.509735172345,2516.7426067611536,0.0,0.701094182975373,7.513480238405945,8.214574421381318,0.0972736369709217,1.0144774243819086,7.357398196930045,8.371875621311954,0.1404104554563829,1.1932017444769416,0.1647771402936992,367.7012214045899,0.0,0.0472545707026608,3.645301888245662,0.0115075094813664,4.33138952083448,0.0089484429639847,False,,,4418.775,117.08436861938486
