target_idx,target_ra,target_dec,target_overall_mean,target_overall_median,target_overall_mean_mag,target_overall_median_mag,target_offset_flag,target_chi_squared_68,target_chi2_threshold_68,target_chi_flag_68,target_chi_squared_95,target_chi2_threshold_95,target_chi_flag_95,target_chi_squared_997,target_chi2_threshold_997,target_chi_flag_997,target_amplitude_5,target_lower_percentile_5,target_upper_percentile_5,target_mag_amplitude_5,target_amplitude_1,target_lower_percentile_1,target_upper_percentile_1,target_mag_amplitude_1,target_largest_amp,target_best_period,target_alarm_level_flag,target_std_amplitude,target_logt,target_logl,target_cephied_like,target_ir_variable_like,target_other_variable_like,multiple_match_flag,smash_ra,smash_dec,smash_glon,smash_glat,smash_elon,smash_elat,smash_raerr,smash_decerr,smash_rascatter,smash_decscatter,smash_umag,smash_uerr,smash_uscatter,smash_gmag,smash_gerr,smash_gscatter,smash_rmag,smash_rerr,smash_rscatter,smash_imag,smash_ierr,smash_iscatter,smash_zmag,smash_zerr,smash_zscatter,smash_chi,smash_sharp,smash_prob,smash_ebv,smash_htm9,smash_ring256,smash_nest4096,smash_random_id,smash_ndet,smash_depthflag,smash_ndetu,smash_ndetg,smash_ndetr,smash_ndeti,smash_ndetz,smash_flag,smash_id,distance_arcsec
657,81.574316,-66.050484,23.202885012745995,23.199,12.986263595079429,12.986254437907643,0.0,37944.167375488934,2545.631391767117,0.0,37944.167375488934,2630.7366356978387,0.0,37944.167375488934,2712.170839596067,0.0,0.7603323367876484,22.830601259049544,23.590933595837193,0.035903844849356,1.1380982948667224,22.65469269378993,23.792790988656648,0.0530282827569994,1.5991414984571044,29.48841679641079,0.0,0.201884741114895,3.797808004913159,4.001716180723094,,,,1,81.574379230757,-66.05048398978555,276.05103634132786,-33.22107422687645,4.695299941749624,-86.57858062124971,0.006240000016987324,0.006240000016987324,0.009669999592006207,0.011301999911665916,14.596521,0.0036979999858886003,0.007368000224232674,13.40736,0.005809000227600336,0.01875999942421913,13.189922,0.008325999602675438,0.0042409999296069145,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,0.9594550132751465,0.030455000698566437,0.0,0.9882029891014099,2187901.0,752489.0,135639388.0,57.20917510986328,11.0,3.0,6.0,3.0,2.0,0.0,0.0,2.0,46937.708576,0.09240250031963955
658,81.600296,-68.04702,12.20141829884164,12.198606797989314,13.684218886853207,13.684422252295192,0.0,42165.898297600856,4218.21797750838,0.0,42165.898297600856,4327.450395879067,0.0,42165.898297600856,4431.4862188319485,0.0,0.7266485550454966,11.843756785447397,12.570405340492892,0.06478837386571,1.135689088516834,11.65050716654549,12.786196255062324,0.1009677761542349,1.5511333719161795,818.7047812407775,0.0,0.0299222149861137,3.613760328411615,4.20845034472243,,,,1,81.60025370261327,-68.04714398102165,278.4077541061118,-32.92632784001155,331.5254802632558,-86.43814913285692,0.013492000289261341,0.013492000289261341,0.041280001401901245,0.021201999858021736,16.027145,0.003984000068157911,0.03507699817419052,14.197939,0.011390999890863895,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,1.9490770101547241,0.21138499677181244,0.38999998569488525,0.40044501423835754,2220974.0,757500.0,135584280.0,9.199566841125488,13.0,3.0,12.0,1.0,0.0,0.0,0.0,2.0,47319.289277,0.4499472003438759
659,81.662074,-69.423714,12.841360886577233,12.8443713675915,13.628638457305074,13.62830212976768,0.0,21467.13615576752,2006.8903242489632,0.0,21467.13615576752,2082.5804212835037,0.0,21467.13615576752,2155.195523136867,0.0,0.6091627318653767,12.533890043474392,13.143052775339768,0.0516978702323189,0.9467037907809548,12.362840102304643,13.3095438930856,0.0800773634993632,1.2982363205631042,768.5630567152083,0.0,0.1263673541778307,3.610997038180849,4.2212548798727365,,,,0,81.6621686362181,-69.42371462199537,280.0199997824428,-32.68317790690035,313.6863631889832,-85.76857304647899,0.031043000519275665,0.031043000519275665,0.01281800027936697,0.018446000292897224,14.526933,0.01950399950146675,0.0035800000187009573,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,0.9614999890327454,-0.07249999791383743,99.98999786376953,0.3327620029449463,2220870.0,761221.0,135567721.0,89.48033142089844,2.0,1.0,2.0,0.0,0.0,0.0,0.0,-1.0,47553.2321412,0.11975799881067482
660,81.681947,-65.962448,24.900652343103843,24.889365365092164,12.90963455755161,12.910000000000002,0.0,151302.17582917263,3229.8497315356303,0.0,151302.17582917263,3325.571456036647,0.0,151302.17582917263,3416.9506020618637,0.0,1.1203935349296543,24.356460568278685,25.47685410320834,0.0484286377700939,1.6968382498054453,24.101770620481165,25.79860887028661,0.0740071550256136,2.4562228503884604,907.4437860099108,0.0,0.1606872525510818,3.870219864705275,4.260135401900596,,,,0,81.6819660112339,-65.96246804971065,275.93992794487906,-33.18916772865439,6.303662749790115,-86.60113262906629,0.023083999752998352,0.023083999752998352,0.0029800001066178083,0.0004729999927803874,13.801376,0.005113000050187111,0.00013499999477062374,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,0.9445000290870667,-0.05900000035762787,99.98999786376953,0.5373129844665527,2187868.0,751966.0,135640130.0,33.164207458496094,2.0,1.0,2.0,0.0,0.0,0.0,0.0,-1.0,46937.839869,0.07737568028446802
661,81.721598,-69.044411,20.36659703408635,20.354,13.127857643554464,13.128531353203334,0.0,35178.88128273908,2001.8531138265964,0.0,35178.88128273908,2077.4495643340233,0.0,35178.88128273908,2149.976951110803,0.0,0.8407116795044658,19.9673476131874,20.808059292691865,0.0447990914146725,1.2935857661976795,19.738241459648933,21.031827225846612,0.0690203057876832,1.743567849962627,473.2019991706594,0.0,0.1824818889111214,3.9106847375962497,4.116411535138101,,,,0,81.72159296255622,-69.04437685449372,279.5712435718468,-32.724980366635684,317.76270765292696,-86.01167864547892,0.016681000590324402,0.016681000590324402,0.010483999736607075,0.015867000445723534,13.653761,0.005032999906688929,0.0467820018529892,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,1.118499994277954,-0.1014999970793724,99.98999786376953,0.5860940217971802,2220888.0,760315.0,135568746.0,2.6372880935668945,4.0,1.0,4.0,0.0,0.0,0.0,0.0,-1.0,47553.2318607,0.12309480857995402
662,81.732915,-69.980225,11.52929306648524,10.352,13.79353795751388,13.862000000000002,0.0,2329540.930860202,2023.009082512246,0.0,2329540.930860202,2098.9980556011988,0.0,2329540.930860202,2171.8931035224955,0.0,11.092616636458583,7.63969201050951,18.732308646968093,0.9733639868011236,12.234653410603606,7.3989657487317375,19.633619159335343,1.059175260974181,13.121551171311754,28.10239515188795,0.0,1.0552834334123633,3.7912336382022582,4.200190413172228,,,,0,81.73290608669693,-69.9802092752492,280.6661748219554,-32.564407645232585,308.04196819489636,-85.41834224578584,0.026038000360131264,0.026038000360131264,0.06041799858212471,0.0146289998665452,16.690004,0.01423299964517355,0.6659280061721802,14.712706,0.005563000217080116,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,1.403249979019165,0.1757500022649765,99.98999786376953,0.5424910187721252,2167680.0,762550.0,135564373.0,94.37897491455078,4.0,1.0,3.0,1.0,0.0,0.0,0.0,-1.0,47664.2301794,0.057665096005713186
663,81.74923,-69.082756,15.4461490322819,15.444232110868471,13.42811850765765,13.428023118708325,0.0,22254.05725313355,2002.8605596811024,0.0,22254.05725313355,2078.475748980187,0.0,22254.05725313355,2151.020687652402,0.0,0.666580592368403,15.11256616760132,15.779146759969722,0.0470069356124973,1.0530846420285729,14.934062311262744,15.987146953291315,0.0740782861384499,1.3758233658641128,413.8451204118939,1.0,0.151054689974137,3.837217574730858,4.0565392720104025,,,,0,81.74937383502795,-69.08277294664431,279.61435805476617,-32.70895000148387,317.22903043840364,-85.99788578087569,0.020552000030875206,0.020552000030875206,0.017626000568270683,0.01689700037240982,14.395585,0.004298000130802393,0.03543100133538246,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,13.06836,0.15070700645446777,99.98999786376953,99.99,9.989999771118164,99.98999786376953,4.056857109069824,0.3998570144176483,0.0,0.6240659952163696,2220888.0,760315.0,135568700.0,26.13007354736328,7.0,3.0,6.0,0.0,0.0,1.0,0.0,2.0,47553.2784805,0.1946731452264887
664,81.76531,-66.011261,21.799968465926195,21.795261938572317,13.054031297230324,13.054036625496137,0.0,65515.29134324871,3239.908219002156,0.0,65515.29134324871,3335.7771425470833,0.0,65515.29134324871,3427.2941799242017,0.0,0.936766235255579,21.348692278252827,22.28545851350841,0.0463790637511962,1.431204750820697,21.122141519805623,22.55334627062632,0.0713790637511984,2.0201421685316276,389.4490767474005,0.0,0.2494089893209841,3.9482999604278866,4.1578402555164695,,,,1,81.76537246864277,-66.01127096451431,275.9925360482364,-33.14923524976847,5.633125645977084,-86.64556300208653,0.008684000000357628,0.008684000000357628,0.010250999592244625,0.009863999672234058,14.20486,0.0035979999229311943,0.010966000147163868,99.99,9.989999771118164,99.98999786376953,13.515595,0.009335000067949295,99.98999786376953,99.99,9.989999771118164,99.98999786376953,13.424815,0.015312000177800655,99.98999786376953,1.3011430501937866,0.041857000440359116,0.0,0.5775989890098572,2187866.0,752490.0,135634620.0,7.441448211669922,7.0,3.0,5.0,0.0,1.0,0.0,1.0,2.0,47069.931698,0.09821486355849575
665,81.775145,-66.746681,11.31607473168664,11.320342309784374,13.76626560297575,13.765528060106137,0.0,73473.07101268118,3249.9666152175264,0.0,73473.07101268118,3345.9825081748904,0.0,73473.07101268118,3437.63722187193,0.0,1.0346621077684262,10.77971990555978,11.814382013328206,0.0996015391155715,1.537357363514273,10.537797028919398,12.07515439243367,0.147701945632992,2.424222587453894,817.0439982455672,0.0,0.2891803463475181,3.603183477440297,4.370948902189321,,,,0,81.77519765815885,-66.74669191778943,276.862091949253,-33.04815366579487,352.962984173677,-86.73769077396695,0.011074000038206577,0.011074000038206577,0.016820000484585762,0.007584000006318092,17.516935,0.004521000199019909,0.020563000813126564,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,0.9003329873085022,0.0346670001745224,0.029999999329447746,0.17128600180149078,2187842.0,754542.0,135630545.0,6.375863075256348,6.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,47196.755734,0.08453428604122121
666,81.879173,-66.582611,17.048682944656385,17.04491298200376,13.321005060517567,13.321000000000002,0.0,67264.23270544985,3238.9023743688595,0.0,67264.23270544985,3334.7565883605616,0.0,67264.23270544985,3426.259846295544,0.0,0.9562860353718676,16.582179992050065,17.538466027421933,0.0606848576073737,1.473268374833456,16.3401323547804,17.813400729613857,0.093974197805112,2.0976287743741757,934.9032982847996,0.0,0.1226480410715169,3.9297661631120535,4.030797173457369,,,,0,81.87917509366947,-66.58260139519216,276.6615232164102,-33.029393598544765,355.8854348307879,-86.77334639561869,0.016656000167131424,0.016656000167131424,0.012726999819278717,0.012609999626874924,14.137904,0.004770999774336815,0.02396400086581707,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,0.6766669750213623,-0.057333000004291534,99.98999786376953,0.12697899341583252,2187855.0,754035.0,135630714.0,3.9693710803985596,3.0,1.0,3.0,0.0,0.0,0.0,0.0,-1.0,47196.842555,0.03470681756857732
667,81.953638,-66.03801,16.049441264345575,16.03997179015733,13.3865264912727,13.387000000000002,0.0,41607.55639076582,3227.838023054484,0.0,41607.55639076582,3323.530280096073,0.0,41607.55639076582,3414.881821958268,0.0,0.7772299445990516,15.677780354233857,16.455010298832907,0.0526649376551322,1.2066256580913493,15.483890362038483,16.690516020129834,0.0811561702659364,1.704891509220273,383.71417485364685,0.0,0.1916630097216874,3.8626142532778487,4.098964532291361,,,,0,81.95372246187264,-66.03801670414364,276.0126311359033,-33.069928341362406,5.480450287628928,-86.72615467463194,0.00854399986565113,0.00854399986565113,0.007598999887704849,0.005266999825835228,14.328114,0.003684000112116337,0.004964999854564667,13.287022,0.015084999613463879,99.98999786376953,13.21909,0.006837999913841486,99.98999786376953,99.99,9.989999771118164,99.98999786376953,99.99,9.989999771118164,99.98999786376953,1.076714038848877,-0.004714000038802624,0.0,0.3922860026359558,2187866.0,752490.0,135634632.0,6.088346004486084,7.0,3.0,5.0,1.0,1.0,0.0,0.0,2.0,47069.918868,0.12582552114614376
668,81.97569,-68.328835,1.3473906193816223,1.3226723049117344,16.086685407881575,16.096534081037678,0.0,22182.666548051267,2013.942339889448,0.0,22182.666548051267,2089.763343404149,0.0,22182.666548051267,2162.5010603997125,0.0,0.5953505889819171,1.07625,1.671600588981917,0.4785198458013795,0.8794026336701596,0.9443448928955231,1.8237475265656828,0.7148201546438244,1.33456755448892,203.06168081248785,0.0,0.1975087364809902,3.6532172938084857,4.024282457738858,,,,0,81.97572002852549,-68.32885018499957,278.71391182461645,-32.74564245032352,326.45903195525335,-86.45418358534447,0.009074999950826168,0.009074999950826168,0.03830200061202049,0.03079500049352646,21.099882,0.022557999938726425,0.04320700094103813,18.208364,0.004435999784618616,0.13859300315380096,16.274988,0.0022269999608397484,0.10842099785804749,14.917938,0.03680900111794472,0.2563610076904297,14.170361,0.03218600153923035,99.98999786376953,2.331058979034424,-0.05305900052189827,0.9399999976158142,0.44808200001716614,2220960.0,758455.0,135581073.0,82.37564086914062,17.0,3.0,5.0,3.0,6.0,2.0,1.0,10.0,47438.547837,0.06769033885297117
669,81.978051,-68.328995,1.2815187405629804,1.2597051128201038,16.14150429049338,16.14958558904043,0.0,20744.12209891003,2015.957184642697,0.0,20744.12209891003,2091.815547589578,0.0,20744.12209891003,2164.58825777382,0.0,0.5751155805615131,1.0231831265701483,1.5982987071316614,0.4844015698867441,0.8591469535252029,0.8856163883153095,1.7447633418405124,0.736114276170607,1.3536987528283275,203.23744843063457,0.0,0.1529541726881813,3.717033204222571,4.112604815254474,,,,0,81.97805141070519,-68.32901173653852,278.71394785015866,-32.74476702113574,326.4505546866043,-86.45488534583444,0.009212000295519829,0.009212000295519829,0.024389000609517097,0.0408409982919693,21.003626,0.01989700086414814,0.1764570027589798,17.748493,0.004019999876618385,0.2874619960784912,16.017382,0.0020959998946636915,0.20245599746704102,15.05496,0.02958899922668934,0.9026569724082947,13.39034,0.034887999296188354,99.98999786376953,2.3847899436950684,-0.1004209965467453,0.7599999904632568,0.4482620060443878,2220960.0,758455.0,135581076.0,37.67753219604492,19.0,3.0,6.0,3.0,6.0,3.0,1.0,10.0,47438.547887,0.06025401244495795
