RA,Catalog #,Name,DEC,V_mag,Simbad Spec Class,KFN Spec,Log(Teff),Log(L/Lsun),YSG?,Variability Class,Simbad Types,Date_Mike,Halpha,
05:22:45.690,62,J05224569-6950516,-69:50:51.64,11.82,~,early G,3.701,4.88,yes,N,Y*?Y*?*IR,"jan17,",abs,
05:35:41.598,63,J05354159-6951148,-69:51:14.89,11.82,A4Iab,early A,3.83,4.735,,N,*sg*IR,"jan17,",abs,
05:44:50.584,64,J05445058-6729405,-67:29:40.58,11.83,G2:Ia,early G,3.684,4.923,yes,cV,*V*?s*ycC*IR,"jan17,",abs,
05:06:27.464,65,J05062746-6830403,-68:30:40.46,11.83,B8Ie,late B / early A,3.824,4.732,,eV,EmO*Em*Em*IR,"jan17,",emi,
05:34:11.106,66,J05341110-6925446,-69:25:44.71,11.85,A9Iab,late A,3.821,4.724,,N,*sg*IR,"jan17,",abs,
05:42:09.358,67,J05420932-6827311,-68:27:31.10,11.89,F8I:,late F,3.773,4.733,yes,N,*IR,"nov17,",abs,
05:35:31.111,68,J05353110-6645242,-66:45:24.16,11.9,F5I:,mid F,3.813,4.705,yes,N,*IR,"jan17,",abs,
05:34:43.270,69,J05344326-6704104,-67:04:10.50,11.92,~,K:,3.596,5.249,,eV,*IR,"nov17,",abs,
05:09:08.718,70,J05090871-6859074,-68:59:07.46,11.93,~,early G,3.674,4.912,yes,N,**IR,"nov17,",abs,
05:07:15.979,71,J05071597-6853006,-68:53:00.63,11.96,~,late F,3.777,4.701,yes,cV,*s*yV*RR*cC*IR,"nov17,",abs,
05:21:46.950,72,J05214694-7119437,-71:19:43.78,12,M,K:,3.642,5,,eV,*IR,"nov17,",abs,
04:49:14.025,73,J04491403-6858116,-68:58:11.59,12.03,A7Iab,A,3.763,4.688,,N,*sg*LP*IR,"nov17,",abs,
05:40:36.930,74,J05403692-6919142,-69:19:14.30,12.03,B6I,,3.838,4.652,,V,*IR,"nov17,",abs+emi,
05:32:36.580,75,J05323656-7048246,-70:48:24.64,12.09,F5I,mid F,3.815,4.629,yes,N,*IR,"nov17,",abs,
05:26:26.004,76,J05262598-6612114,-66:12:11.58,12.11,A2I,early A,3.815,4.621,,V,**iCIRUV,"nov17,",abs,
05:19:51.804,77,J05195179-6953084,-69:53:08.50,12.12,B3I,,3.838,4.616,,V,**IR,"nov17,",abs+emi,
04:52:11.299,78,J04521129-7148341,-71:48:34.15,12.14,~,early G,3.652,4.907,yes,N,s?y*IR,"nov17,",abs,
05:39:05.960,79,J05390594-6916267,-69:16:26.76,12.14,B7I,late B,3.803,4.613,,V,*IR,"nov17,",abs+emi,
05:06:14.814,80,J05061481-6640459,-66:40:45.91,12.15,F7I,late F,3.78,4.623,yes,cV,*V*Ce*cC*IR,"nov17,",abs,
05:33:01.756,81,J05330175-6648053,-66:48:05.37,12.18,M:,K:,3.561,5.359,,V,*LP*IR,"nov17,",abs,
05:13:53.671,82,J05135366-6703486,-67:03:48.42,12.21,F5?I?,late F,3.742,4.643,yes,cV,*V*Ce*cC*IR,"nov17,",abs+emi,
05:36:56.825,83,J05365682-6916183,-69:16:18.36,12.21,B8I,,3.848,4.582,,N,**IR,"nov17,",abs,
05:14:18.858,84,J05141885-6715493,-67:15:49.33,12.21,K5-N3,mid K,3.613,5.045,,eV,*IR,"nov17,",abs,
05:11:52.090,85,J05115205-6709577,-67:09:57.79,12.22,B2III,early B,3.779,4.595,,V,*IR,"nov17,",abs,
05:24:44.378,86,J05244436-6937483,-69:37:48.43,12.22,A5Ib,,3.838,4.576,,N,*IR,"nov17,",abs,
05:06:08.878,87,J05060887-7115260,-71:15:26.06,12.26,~,late F,3.765,4.593,yes,V,*s*yV*Ce*cC*IR,"nov17,",abs,
05:22:18.449,88,J05221844-6654590,-66:54:59.11,12.26,F8Ib,mid F,3.784,4.575,yes,N,*IR,"nov17,",abs,
05:37:09.434,89,J05370943-6919283,-69:19:28.34,12.26,~,B,3.848,4.562,,N,*IR,"nov17,",abs,
04:51:45.106,90,J04514507-6930177,-69:30:17.83,12.3,A7I,,3.842,4.544,,N,*IR,"nov17,",abs,
05:36:34.440,91,J05363444-6740313,-67:40:31.40,12.36,F8I:,late F,3.791,4.531,yes,N,*IR,"nov17,",abs,
05:35:49.424,92,J05354942-6642017,-66:42:01.75,12.36,~,early F,3.808,4.523,yes,cV,*V*?s*yV*Ce*IRIR,"nov17,",abs,
05:10:00.989,93,J05100098-6854089,-68:54:08.71,12.37,F2I,early F,3.808,4.519,yes,N,*IR,"nov17,",abs,
04:54:23.770,94,J04542376-7054057,-70:54:05.80,12.44,F8I,late F,3.775,4.511,yes,cV,*V*Ce*cC*IR,,,
05:00:07.56 ,95,J05000756-6826599,-68:26:59.9,,,early G:,,,maybe,,,"jan17,nov17,",abs+emi,
05:33:01.121,96,J05330109-6922292,-69:22:29.30,11.71,,B,,,,,,"nov17,",abs,
05:31:27.933,97,J05312793-6724442,-67:24:44.25,11.79,,B,,,,,,"nov17,",abs,
05:49:02.817,98,J05490285-7002302,-70:02:30.12,12.02,,B,,,,,,"mar18,",PCyg,
